"","session","hex01","hex02","hex03","hex04","hex05","hex06","hex07","hex08","hex09","hex10","hex11","hex12","hex13","hex14","hex15","hex16","hex17","hex18","hex19","hex20","hex21","hex22","hex23","hex24","hex25","hex26","hex27","hex28","hex29","hex30","hex31","hex32","hex33","hex34","hex35","hex36","hex37","hex38","hex39","hex40","hex41","hex42","hex43","hex44","hex45","hex46","hex47","hex48","hex49","hex50","hex51","hex52","hex53","hex54","hex55","hex56","hex57","hex58","hex59","hex60","responsive02","responsive03","responsive04","responsive05","commit01","commit02","commit03","commit04","commit05","commit06","commit07","age","matevalue01","matevalue02_R","matevalue03","satis01","satis02","satis03","satis04","satis05","responsive01","sex","phex01","phex02","phex03","phex04","phex05","phex06","phex07","phex08","phex09","phex10","phex11","phex12","phex13","phex14","phex15","phex16","phex17","phex18","phex19","phex20","phex21","phex22","phex23","phex24","phex25","phex26","phex27","phex28","phex29","phex30","phex31","phex32","phex33","phex34","phex35","phex36","phex37","phex38","phex39","phex40","phex41","phex42","phex43","phex44","phex45","phex46","phex47","phex48","phex49","phex50","phex51","phex52","phex53","phex54","phex55","phex56","phex57","phex58","phex59","phex60","relation_type","year","month","HH","EM","EX","AG","CO","OP","pHH","pEM","pEX","pAG","pCO","pOP","matevalue","satis","commit","responsive"
"23","v40m7br14MWBjRAP1mb19vo6JxnYgay727mhZCpoPXJwp3hJ3IyWU_aYc5Fcdjbf",1,5,2,2,5,2,5,2,2,1,3,2,4,4,4,5,4,2,2,1,3,1,4,1,5,4,1,1,5,3,5,1,4,5,4,4,5,5,4,5,2,4,4,2,2,1,5,2,1,3,2,3,2,2,1,1,2,2,2,1,1,9,1,9,9,9,1,1,9,9,9,26,7,1,4,9,9,9,9,9,9,2,3,3,4,5,4,5,5,1,1,4,1,1,1,2,1,3,4,5,2,1,1,5,4,1,4,4,4,1,4,4,2,1,4,2,4,3,2,4,5,3,2,1,4,4,4,1,5,1,5,1,4,1,4,4,1,1,1,2,2,1,5,4,5,3.3,4,3.8,2.8,3.8,4.3,4.4,3.4,3.7,4.5,3.2,3.3,6.66666666666667,9,8.42857142857143,7.4
"25","fKqRo2TaeWl4c_7Qi_AFr9ejj1LVBKpWmsIeXGIBFsk9JXM1EY3IWCuKUQ34pz6v",2,5,2,3,3,2,3,2,1,5,4,1,1,1,4,2,5,2,2,3,1,4,3,3,4,3,2,2,5,4,3,1,5,1,3,4,2,3,5,1,1,2,4,2,5,2,5,2,5,2,4,1,2,3,3,1,4,1,1,1,1,9,3,9,9,9,1,1,9,9,9,23,2,8,3,9,9,9,9,9,9,2,2,4,3,5,1,3,5,2,3,2,3,1,2,2,4,4,5,2,1,1,2,4,3,3,4,3,2,2,2,3,1,1,5,3,3,4,4,2,3,2,2,3,3,2,3,1,5,2,3,3,3,2,3,3,2,1,4,3,2,3,3,3,4,3.4,4.2,2.6,3.7,3.7,2.9,3.3,3.3,3.8,3,3.7,3.9,2.33333333333333,9,8.42857142857143,7
"28","a_aNOzV-DRPuLI_StVLvQYvfrNmUTvYDbMV9nEwg2J-ImX0F-FJCLD4fgKqcKghG",1,3,1,5,3,5,2,4,1,1,3,1,2,4,5,5,3,3,5,3,1,4,3,2,3,4,4,1,5,1,5,3,5,5,4,5,2,5,3,4,1,3,5,3,4,2,5,1,3,2,5,1,1,1,4,2,3,3,2,1,1,9,2,9,7,7,1,1,7,8,9,22,6,1,8,7,6,5,8,8,8,2,2,5,2,5,4,3,5,2,4,1,3,1,2,1,4,3,4,2,3,1,2,4,3,1,4,3,2,2,3,2,4,3,2,4,1,5,4,3,2,4,3,4,4,3,2,1,5,1,2,1,2,1,3,4,4,2,4,5,3,1,3,5,2,4.1,3.8,4.5,3.6,3.1,2.6,4,3.6,4.4,2.2,3.4,3.4,7.66666666666667,6.8,7.42857142857143,7
"30","9nXRjUex0E5AqHR5gdKRtwdwCv5ZLF_Ep5qAgf9IajspgxgUaVoXiYawgUvlpS_9",1,4,2,3,4,2,3,4,3,3,4,4,3,1,3,2,4,2,3,3,3,3,3,3,4,3,2,1,4,3,1,2,3,4,2,3,5,4,3,4,3,4,5,2,3,3,4,3,2,4,3,2,3,2,2,2,4,2,3,3,4,5,3,3,5,5,5,4,4,3,5,24,8,2,7,4,3,3,3,4,5,2,3,2,3,3,3,3,3,2,3,4,3,4,2,4,2,2,3,2,3,3,3,3,3,3,2,4,3,3,4,3,3,4,3,3,3,3,3,2,2,3,2,3,3,4,2,3,3,3,5,2,3,4,1,3,4,3,3,1,3,4,2,0,0,2.5,3.6,3.3,2.7,3.9,4.1,2.7,3.4,2.5,2.9,2.2,2.5,7.66666666666667,3.4,4.14285714285714,3.6
"34","Fr8Oiw3Rwd3cQ812_mS48NWoQvc65YwdXdWomCINyOgKBOyDyBBCI3A4r2b869tA",1,5,2,4,1,3,4,5,2,2,2,1,2,1,1,4,2,1,2,1,1,5,2,4,3,4,1,1,4,4,1,1,5,2,1,3,4,5,5,2,2,4,5,1,5,1,1,3,1,5,5,4,4,2,1,1,1,4,2,1,1,9,2,9,9,9,1,1,9,9,9,25,5,3,6,9,9,8,9,9,4,1,1,3,2,4,4,4,4,5,3,2,4,1,2,2,1,4,5,5,2,2,1,5,2,3,4,4,1,1,3,1,1,2,5,2,4,5,5,5,4,4,1,4,5,2,2,1,5,2,1,4,2,2,2,2,2,4,2,5,2,1,3,5,8,2.8,2.7,3.7,4.2,4.7,4.2,4,3.8,4.2,3.3,3.7,4.3,6,8.8,8.42857142857143,6.2
"37","9fGLtXUkdFrXvOHgJ_wJxHwScb9e_VIpmJK23RtYwOeHXxrenqvc5-pDRSYhLmpG",3,3,2,3,3,3,3,2,2,3,5,1,3,4,2,5,3,3,4,4,5,4,5,2,2,3,3,1,4,3,5,2,3,2,4,1,2,4,2,4,2,2,5,5,2,2,5,3,5,2,3,5,2,5,5,5,3,3,1,1,1,9,4,7,9,6,1,1,9,9,9,22,1,9,1,8,7,7,7,5,9,2,1,5,5,4,2,5,2,3,1,3,1,1,2,1,2,2,2,3,1,1,1,4,2,2,3,1,5,1,1,3,1,1,5,3,2,5,3,5,5,3,3,2,4,1,5,4,5,1,2,2,5,2,4,5,2,1,1,3,2,1,3,2,2,3.6,4,3.4,2.7,2.4,2.3,4.4,2.6,3.3,4.9,4.5,3.7,1,6.8,8,6.4
"39","ZGQmfz9UPQBBhWzXMbxBMveXvv8ysHde4mDUV4BMBWWMyWghl2uCe8UQJZEc9Y9j",4,5,2,2,3,5,4,2,2,4,4,2,2,2,2,2,4,2,1,2,2,4,3,4,2,2,2,2,4,1,2,4,4,2,3,4,4,4,4,2,1,4,4,2,5,2,5,2,4,1,4,1,2,4,5,2,2,2,1,2,1,9,4,9,9,9,1,1,9,9,9,25,5,3,5,9,9,9,9,9,9,1,3,2,2,4,5,5,4,2,2,2,2,1,4,4,1,4,5,4,3,3,1,2,4,4,4,4,1,2,5,2,3,2,2,2,2,5,3,5,4,2,1,5,3,2,4,2,4,1,2,2,2,1,1,4,2,2,2,3,1,1,3,0,9,3.6,4,2.9,3.7,3.4,3,4,4.4,3.4,3.3,3,3.5,5.66666666666667,9,8.42857142857143,6.8
"41","htUHRF11CDnfAk1GNttvFLNcIIHwnzESLCP8zN9j2ME7SjGNQglrxEEoElZmZQGo",3,2,3,4,4,2,3,3,2,2,4,3,3,2,2,4,5,2,2,4,3,4,4,3,3,4,3,3,4,4,3,3,3,3,3,4,2,3,4,3,2,4,3,3,2,2,4,2,4,1,3,4,1,4,4,3,4,2,2,3,4,6,3,5,5,9,1,5,8,6,5,23,4,7,4,6,4,3,6,7,6,2,3,4,2,4,2,2,1,2,3,3,3,3,3,4,2,2,4,3,3,2,3,4,2,3,3,4,2,2,3,3,3,2,3,4,4,3,2,2,4,3,2,3,3,3,3,3,4,3,4,2,3,3,3,3,3,4,2,3,3,3,3,5,3,2.9,4.1,3.3,3.1,2.6,2.8,2.9,3,3.3,3.1,2.7,2.6,3.66666666666667,5.2,6.14285714285714,4.4
"42","Nsvdqy5bi0QN33AZPyJ28wN6BlG5W3h2JVs6Y5ZWPDQSRmLa4L9g-0kWoVuSS5Ha",3,5,2,4,5,5,4,5,4,1,3,1,5,1,3,2,5,3,1,1,1,5,5,4,3,1,1,1,5,1,3,1,4,2,1,5,5,5,5,2,1,3,5,1,1,1,5,1,1,4,4,1,1,5,2,1,1,4,1,1,1,9,1,9,9,9,1,1,9,9,9,25,1,5,5,9,9,9,9,9,9,2,3,5,5,5,1,5,3,2,2,2,1,1,2,1,2,2,5,2,2,1,1,5,3,4,3,1,5,1,4,1,4,2,5,1,5,5,5,5,4,1,2,1,5,1,1,1,4,1,3,5,5,1,5,5,3,2,1,2,3,1,3,0,8,4.3,4.8,3.9,3.2,4.9,4.2,4.4,2.7,3.5,4.3,4.5,3.3,3.66666666666667,9,8.42857142857143,7.4
"48","8HQXJj9iFCL8wIQJvgW-L7_HU7a5O1FvTXwO8-wm4cDEJSFnTcFNaay4VvQMW0UY",4,5,3,4,5,3,1,3,4,1,3,3,3,2,4,2,4,3,2,1,3,4,2,5,2,4,5,1,5,5,4,3,5,3,4,5,4,5,4,3,4,4,5,3,2,1,3,3,3,3,3,1,2,2,1,1,4,5,2,1,4,8,3,5,9,5,5,2,4,9,8,23,5,5,4,8,8,8,8,8,7,2,4,4,3,3,2,4,3,4,4,1,2,3,4,2,3,3,4,4,2,2,2,3,2,4,3,3,3,3,2,3,4,3,4,2,2,4,4,4,5,2,4,3,5,3,5,3,4,2,4,5,4,4,4,4,2,3,2,4,4,3,3,3,3,2.8,3.4,4.1,3.1,3.8,3.1,3.4,2.6,3,3.7,3.7,3.3,4.66666666666667,8,6.28571428571429,5
