"","session","hex01","hex02","hex03","hex04","hex05","hex06","hex07","hex08","hex09","hex10","hex11","hex12","hex13","hex14","hex15","hex16","hex17","hex18","hex19","hex20","hex21","hex22","hex23","hex24","hex25","hex26","hex27","hex28","hex29","hex30","hex31","hex32","hex33","hex34","hex35","hex36","hex37","hex38","hex39","hex40","hex41","hex42","hex43","hex44","hex45","hex46","hex47","hex48","hex49","hex50","hex51","hex52","hex53","hex54","hex55","hex56","hex57","hex58","hex59","hex60","responsive02","responsive03","responsive04","responsive05","commit01","commit02","commit03","commit04","commit05","commit06","commit07","age","matevalue01","matevalue02_R","matevalue03","satis01","satis02","satis03","satis04","satis05","responsive01","sex","phex01","phex02","phex03","phex04","phex05","phex06","phex07","phex08","phex09","phex10","phex11","phex12","phex13","phex14","phex15","phex16","phex17","phex18","phex19","phex20","phex21","phex22","phex23","phex24","phex25","phex26","phex27","phex28","phex29","phex30","phex31","phex32","phex33","phex34","phex35","phex36","phex37","phex38","phex39","phex40","phex41","phex42","phex43","phex44","phex45","phex46","phex47","phex48","phex49","phex50","phex51","phex52","phex53","phex54","phex55","phex56","phex57","phex58","phex59","phex60","relation_type","year","month","HH","EM","EX","AG","CO","OP","pHH","pEM","pEX","pAG","pCO","pOP","matevalue","satis","commit","responsive"
"54","6Snsll7Ay5-e6pl_w6IqJiHOhYZC9buu5vMoLkc6secFltlrItXqLjQVM7V2Oh24",3,4,4,4,3,3,3,4,4,3,5,1,2,2,5,4,5,1,2,4,1,3,5,4,5,3,2,3,5,3,2,1,4,3,1,3,2,4,4,3,3,4,5,3,4,5,5,3,2,4,5,2,3,5,4,2,5,2,1,1,3,7,4,6,9,9,1,1,8,9,8,23,8,3,6,7,7,6,7,7,9,2,3,5,4,4,4,5,4,4,3,4,4,1,1,1,1,2,4,1,4,1,2,4,2,3,4,1,2,3,4,3,4,2,4,4,3,4,3,5,3,3,4,5,4,1,4,2,3,4,3,2,4,1,4,5,4,1,3,2,4,1,3,2,5,3.2,4.4,3,3.2,3.7,3.4,3.4,3,3.3,3.6,4.5,2.8,7,6.8,8.14285714285714,5.4
"60","GhX4sQbp_95gEbGcqbbBviLgAS6abL4zqBbIrIsmUGO-VExC20zUBY0ctL8oFEoH",2,4,4,4,4,2,5,3,2,1,4,2,3,2,4,4,5,1,1,2,1,5,2,4,3,4,3,2,4,5,3,1,5,4,4,2,5,4,3,4,1,5,5,2,5,2,3,5,2,3,4,1,2,4,2,4,2,5,2,1,1,8,2,8,9,9,2,2,8,9,9,22,7,2,8,7,9,9,9,9,8,2,4,4,2,4,3,2,3,4,4,2,1,4,1,1,4,5,5,1,5,2,3,4,5,4,2,3,3,1,1,5,5,4,3,3,1,2,3,5,5,4,2,4,4,2,2,2,5,5,4,5,1,2,4,2,3,4,4,4,1,4,3,0,8,2.3,3.7,4.4,3.9,3.5,4.1,1.7,3.6,4.1,2.5,3.8,2.2,7.66666666666667,8.6,8,6.6
"61","#NAME?",1,5,1,4,5,4,5,4,3,2,5,5,4,1,2,5,4,1,1,1,2,4,4,5,4,2,2,2,5,2,2,1,5,2,1,5,3,5,4,5,1,2,5,4,4,4,3,2,4,4,5,2,2,5,5,1,1,2,2,5,3,8,2,3,9,9,1,1,2,9,2,22,1,4,1,2,2,1,4,2,7,2,4,2,2,4,4,5,5,1,2,2,2,5,2,5,2,4,4,2,5,2,1,4,1,4,1,4,2,2,4,2,5,4,4,2,4,4,3,2,4,2,2,4,4,4,4,2,2,2,4,2,5,2,4,4,5,2,2,2,2,4,3,2,7,3,4.4,3.6,3.7,4.4,3.8,3,2.9,3.4,3.8,2.2,2.2,2.66666666666667,2.2,6.42857142857143,5
"65","rRBbz7gC0Dql9h0zrI1W0W3fetBO6CHdmlFPdhH-TheNSZvYllen0ZNSm-JbEmqy",2,4,2,2,2,4,4,2,1,4,4,4,4,2,3,2,4,2,4,2,3,3,4,3,2,4,2,3,4,4,4,4,3,2,3,3,3,4,4,2,2,4,3,3,3,4,5,4,2,2,5,4,3,4,4,3,3,2,2,4,1,9,1,7,8,7,1,2,8,8,7,24,5,5,5,6,5,5,6,3,9,2,3,4,3,3,3,3,4,3,3,2,3,3,2,3,3,3,3,2,3,3,2,3,3,3,2,3,3,2,4,3,3,3,4,5,2,2,3,3,3,4,3,3,3,3,3,2,3,2,3,2,3,3,3,3,4,2,3,3,2,3,3,3,11,2.6,3.7,2.2,3.3,3,3,2.9,3.3,3.6,3.2,3.1,2.8,5,5,7.28571428571429,7
"72","PdBu_i8u7dPK3_wQWQ_xsDnPL2P6ZiHX_nRZ6L8_0N7YmnDsen5HGsgk0zNjbsiW",1,5,3,4,2,3,5,3,2,2,2,1,3,2,1,4,5,2,1,1,1,5,3,4,5,2,2,1,2,2,1,1,5,3,4,5,5,5,5,4,2,3,5,1,5,1,5,2,1,4,5,1,4,5,1,2,2,4,2,1,1,9,1,8,9,9,1,1,7,9,9,25,8,3,7,9,9,8,9,9,9,1,2,3,3,5,4,1,3,2,2,4,2,2,2,2,2,4,5,3,2,2,1,5,4,4,4,2,2,1,4,2,3,4,5,2,4,1,4,4,4,2,2,4,5,2,5,1,4,3,2,4,5,1,3,4,3,4,2,3,2,1,3,0,1,3.8,3.1,4.3,4.3,4.4,4.8,2.9,3.6,3.8,4.1,3.3,3.6,7.33333333333333,8.8,8.14285714285714,7.2
"73","P6l9nFvi_QGznN26liqrXjXFdrTg1PeLxJyb6JYXWbULR2sEOxSWAjjge9yzw0B9",3,4,3,4,5,4,1,2,2,5,3,1,2,2,1,2,5,3,5,2,1,5,4,3,1,4,3,1,5,3,2,1,5,1,3,5,2,5,4,1,2,1,5,4,3,2,5,2,5,5,2,1,1,5,5,1,1,1,2,1,1,9,1,8,9,9,1,1,9,9,8,25,5,2,5,8,9,7,8,9,9,2,2,5,5,5,2,5,3,2,1,1,1,1,3,1,1,5,5,3,3,1,1,5,4,4,3,1,5,1,1,1,2,2,5,5,4,5,4,5,4,5,4,4,3,1,1,1,5,5,1,5,5,1,5,4,2,1,4,5,2,1,3,0,1,4.2,4.3,2.9,3.9,3.8,2.1,3.7,2.7,5,4.2,4.6,3.6,6,8.2,8.28571428571429,7.2
"75","Kq6n7gDP4gbZHwCzGqfYD-BnwoGxR4cYMx99mBLzoV-5asX22WLkvYKMwrOfN4Oq",1,5,3,4,5,3,3,4,1,1,5,2,5,2,1,4,3,1,3,3,1,5,5,3,4,4,1,2,4,3,4,2,3,3,3,3,3,4,2,3,3,2,5,5,4,3,3,3,3,3,5,2,1,4,4,1,3,2,1,1,7,5,6,3,5,5,7,7,1,3,2,21,4,3,3,3,2,2,5,4,3,2,4,2,2,4,4,2,5,1,2,1,5,4,1,4,3,5,4,3,3,3,5,3,3,2,2,3,2,4,2,4,4,2,3,4,3,2,1,2,4,5,2,4,5,4,2,3,4,4,2,2,2,4,1,3,2,3,4,2,1,4,3,1,10,3.3,4.1,3.7,3.6,3.5,3.5,2.4,3.9,3.5,2.5,2.4,2.9,4.66666666666667,3.2,2.57142857142857,2
"76","aj7phHfD_yIEPt5Ku2HHZtSvHl8AmNmOKuAuqZofjWPPGEWBTRGvZBUl_JuCbvhc",5,5,4,5,4,5,1,5,4,2,4,1,1,1,5,2,5,1,2,1,1,4,2,4,1,2,4,1,5,2,4,1,5,2,2,5,2,5,4,2,1,4,4,1,4,2,5,2,5,5,4,1,2,5,4,1,2,2,2,1,1,9,2,9,9,9,9,1,9,9,9,25,9,1,9,9,9,8,9,9,9,2,5,5,2,5,4,4,1,5,1,2,4,1,1,1,5,2,5,1,2,1,2,4,2,5,2,2,4,2,4,2,4,2,4,2,4,5,4,5,4,4,1,4,4,1,5,1,5,5,4,4,5,1,5,4,4,1,2,4,2,1,3,0,2,3.8,4.2,3.5,3.7,4.9,1.9,3.2,3.6,3.9,3.8,4.7,2.3,9,8.8,7.28571428571429,7.2
"81","3g9paZ1X-3O1brVpvHq5lzy_kam6NEDF9WLmr2aoBlslMp6P8GGH7OANq0VlpXKW",2,3,2,4,4,3,2,2,2,2,3,4,4,3,2,3,4,1,4,1,2,3,2,3,2,4,3,2,4,2,3,2,3,3,2,3,2,2,2,3,2,4,3,3,2,3,3,3,4,2,4,3,2,3,2,3,4,2,1,4,3,8,1,7,9,8,1,1,8,6,8,23,3,4,4,6,8,4,6,6,9,2,2,3,2,2,3,3,3,3,3,2,4,4,3,2,3,3,3,1,3,2,4,2,2,3,3,3,1,2,3,3,3,2,2,3,2,2,2,3,3,3,2,4,3,3,2,4,3,4,3,3,2,3,3,4,3,2,3,3,3,4,3,5,5,2.6,3.7,3.2,3,2.9,2.8,2.4,3.2,2.9,2.3,3.4,3,4.33333333333333,6,7.57142857142857,6.4
"83","kHnUGNAayJR_7SRdYJZQz6D3coOBX1WN1vw7N47gCb2mFZ4LqDd3BjjdLXXRtwlp",1,5,4,5,4,5,5,4,1,1,3,3,5,1,4,5,5,3,3,1,5,5,3,4,5,4,2,1,4,3,3,1,2,5,1,5,5,5,3,5,1,2,5,5,1,2,4,3,2,4,3,3,1,5,2,1,1,4,2,1,1,9,1,7,9,7,9,1,6,9,9,18,6,6,7,6,9,8,9,9,8,2,2,5,2,5,1,5,3,3,1,4,3,1,3,1,1,1,1,5,5,1,1,4,1,3,5,5,3,3,3,3,3,1,5,1,4,5,4,5,5,1,5,1,4,1,5,2,3,1,3,1,5,4,5,5,2,1,1,5,5,1,3,0,3,3.8,4.2,4.6,2.8,4.1,4.4,4.6,1.7,2.8,4.5,4,3.4,5.66666666666667,8.2,6.57142857142857,6.8
"87","1iQlife9HBm3mwuQKsG-Q4MxacgVNdqvovOfUpncHLgZYSrb7nZL1NlM2tSK0Jo1",1,4,3,4,1,3,4,1,2,1,1,4,2,2,2,5,3,2,2,2,1,5,1,4,4,2,2,1,2,3,2,2,4,3,4,3,5,4,4,4,2,4,5,2,5,1,2,4,2,3,4,1,4,5,2,2,2,3,4,4,1,8,3,5,9,8,2,1,7,9,8,19,7,2,8,8,8,8,8,8,8,1,2,5,3,4,2,4,2,4,2,4,4,3,2,2,3,1,4,2,1,2,1,4,2,4,4,1,4,2,1,2,2,1,3,2,4,2,4,4,4,3,2,5,5,2,3,2,4,2,3,3,4,1,3,5,3,1,3,2,5,4,3,2,2,2.6,2,4.4,3.9,3.6,4.1,2.9,2.7,3.1,3.6,4.3,3.6,7.66666666666667,8,7.71428571428571,5.8
"90","XUokta9svAyoeQNCwq7G2hEKMglgQlfMbqE48r5tNrhWyMAYRTcgduXsRt9HnE5H",1,3,4,3,5,5,5,4,1,2,5,1,5,1,4,3,5,5,5,1,5,3,5,5,5,4,2,1,5,1,5,1,5,3,5,5,3,3,5,3,1,4,5,4,5,3,5,1,3,4,2,3,1,5,2,1,1,3,2,1,1,9,1,9,7,9,1,1,9,9,9,19,3,2,3,7,9,6,7,8,9,2,1,5,5,2,5,5,2,2,1,1,2,1,4,1,1,5,5,5,4,1,1,4,5,3,4,5,3,1,2,1,1,2,5,3,2,5,5,5,5,3,1,1,5,1,5,1,5,1,1,4,5,5,5,5,4,1,1,4,2,1,3,2,11,4.3,4.5,3.3,3.6,3.8,3.7,4.8,3.8,3.7,4.8,4.1,3.9,4.66666666666667,7.4,8.14285714285714,7.4
"95","ungyE62UzW9ATt2c9rn2WmkPUE5UahV6eHnQT02dBmkVodiMTs0n1pnOkBNJ3jGP",1,4,2,4,4,1,1,3,3,3,5,3,3,2,4,1,4,1,1,2,5,4,5,3,4,3,1,3,4,3,2,1,4,2,2,1,3,5,2,1,2,5,5,5,2,2,5,5,4,3,2,1,2,2,5,2,4,2,3,3,1,8,3,7,9,8,1,8,9,9,2,18,8,8,4,2,3,1,8,3,8,2,3,4,2,5,3,1,1,2,2,2,3,5,3,2,2,4,4,1,4,2,2,4,2,4,4,2,3,2,4,5,2,1,2,5,2,2,3,3,4,4,2,5,4,4,3,2,4,5,4,2,2,1,2,2,5,2,2,3,2,5,3,0,11,1.9,4.2,2.9,2.1,3.6,3.3,1.3,3.6,4.2,3.2,3.4,2.7,4.66666666666667,3.4,6.28571428571429,6.2
"99","nsyh5_brwmtu3FBVx7BXmJyWWJo0xKEKTvPC1IwYXxGGdncuIAamhiA1DrWkoFsb",2,5,2,4,2,1,1,5,1,5,5,1,1,1,5,1,1,1,1,3,4,5,1,1,4,4,5,2,5,1,4,1,5,2,1,5,1,4,4,2,2,1,5,1,3,4,5,1,5,3,2,5,1,5,4,1,5,1,1,1,1,9,4,7,9,8,1,1,1,9,9,18,3,2,5,7,9,3,9,3,7,2,5,5,1,5,1,5,1,5,5,1,1,1,1,1,5,5,1,2,1,5,5,3,1,1,1,1,1,1,1,1,5,1,2,1,5,5,5,3,1,5,2,1,5,1,1,1,5,3,5,5,1,1,5,5,5,1,5,5,5,1,3,2,8,4.2,3.8,2.3,3,4.2,2.6,4.5,1.7,4.4,1.1,4.4,2.2,5.33333333333333,6.2,7.14285714285714,6
"100","IbzI-oY0yoon9n9nSrVATu5tkZsedIlHlVwClcGN8alybYKhgJrGFGy2ubBibXcB",1,4,2,5,5,5,4,5,3,1,4,4,3,2,3,3,5,3,3,3,3,5,5,3,4,5,2,1,5,4,1,4,4,5,2,4,4,4,4,5,2,5,5,4,3,2,5,5,4,3,2,3,3,5,1,2,4,5,2,2,3,9,1,7,9,8,3,1,8,7,9,18,6,1,9,9,9,8,9,9,9,2,2,4,4,4,5,4,3,3,3,3,5,3,3,3,4,5,5,5,4,1,1,4,5,5,4,4,4,4,5,3,2,2,5,4,2,3,3,4,4,4,1,4,4,5,4,2,5,4,2,2,5,5,3,5,2,2,5,5,1,2,3,0,7,3,4.4,4.5,2.8,3.2,4,3.2,4.7,3.6,3.7,3.2,3.5,8,8.8,7.57142857142857,6.6
"101","XcpeQ5iGlZ-w_pW1oqpLGwc8GV9_OC2WXkXtVd1tWzQQNrXLTLWhbJzegL2cVHHz",1,4,4,4,1,5,5,2,1,4,5,1,2,2,3,3,2,4,5,1,1,5,1,4,5,3,2,1,3,1,3,2,5,2,5,5,2,4,2,2,1,2,5,3,4,3,2,1,3,1,5,3,3,5,3,1,2,2,3,1,1,8,2,5,7,7,1,1,6,7,5,18,4,7,3,7,5,5,7,3,8,2,3,4,3,4,2,5,3,2,1,4,5,1,3,2,5,3,5,3,3,2,1,4,2,3,3,4,3,1,3,2,3,1,4,4,2,5,3,3,4,3,5,3,4,1,3,1,4,1,3,3,4,2,3,3,3,2,3,3,3,1,3,0,0,4.5,2.6,3.1,3.9,3.5,3.4,4.1,3.2,3.7,3.5,3.6,3.1,3.33333333333333,5.4,6.57142857142857,6
"104","bXMc9Ccbvufyt0IdHUw5uMxVLict8OlSDYWXdEGZ-fltuyY-0-gNERgH3BpI_G0Y",4,4,2,4,4,4,2,5,3,3,4,2,2,2,2,4,5,4,2,2,2,5,2,4,2,4,5,2,4,2,4,2,4,3,2,5,2,4,4,3,2,5,4,4,3,2,4,2,2,3,4,2,4,2,4,3,4,3,3,1,1,8,1,8,9,8,1,1,2,9,9,18,8,2,8,8,8,9,8,9,8,2,4,4,2,4,4,4,4,4,2,2,4,2,4,2,3,4,4,4,2,2,3,4,2,4,4,4,4,2,4,2,3,4,4,4,4,4,3,4,4,4,2,2,4,4,4,2,4,2,4,3,1,2,4,4,2,4,4,4,3,2,3,0,10,3.5,3.6,3.7,3.5,3.5,2.6,3.8,3.3,4,3.1,3.1,3.4,8,8.4,7.28571428571429,6.8
"105","V6v6EcdmH9zVm0XBOhudmcyOLpKhDZaWVTO9qw-ir-qR980jpnDJKKn8qvxWisal",2,5,2,2,2,4,2,4,4,2,4,5,2,2,3,5,4,2,2,2,2,3,2,3,3,2,3,3,4,2,2,1,2,2,2,2,1,2,4,1,3,4,5,2,2,2,2,3,5,2,4,5,3,2,1,2,2,2,2,1,1,9,1,7,9,8,1,1,9,9,9,22,5,2,5,9,9,9,9,8,9,2,4,4,4,5,4,4,4,2,1,1,1,1,2,1,4,5,3,2,2,1,1,5,4,3,2,2,4,1,4,2,1,1,5,5,4,2,4,4,4,4,3,4,3,1,5,1,4,3,2,2,5,3,4,4,2,1,2,4,3,1,3,0,11,2.8,3.2,2.7,3,3.8,3.1,3.4,3,4.6,4.3,4.1,3.4,6,8.8,8.28571428571429,7
"106","P4oAj7210D89nR5Swc2uffUnM88pQH2dCOVnwMtQxXaxzF6fGo0ueaWdGQttHz-Y",2,3,1,3,5,4,3,4,3,3,5,2,1,1,5,3,4,2,5,1,1,3,5,3,1,5,1,3,5,2,2,3,5,2,2,4,3,5,4,3,3,4,5,2,4,4,5,4,4,4,5,3,1,5,4,2,5,2,1,5,1,9,1,5,9,4,1,1,6,9,9,21,6,4,6,8,9,8,9,9,9,2,3,5,1,4,1,5,1,4,3,1,1,1,1,3,3,3,1,2,5,1,1,3,3,4,1,3,1,1,1,5,5,1,5,4,2,4,3,5,5,3,1,2,5,1,5,1,4,5,5,3,5,1,4,5,5,1,3,2,1,5,3,0,6,3.1,4.6,2.7,3,3.8,2.6,3,2.7,3.9,3.6,4.3,1.8,6,8.6,7.28571428571429,6.6
"108","ekw-QxvHJ0B_H-GEvTUKsaL-rrchCuHZmV7qtJxEgwEUn_y4TtJ826VwIO3iTpuE",2,5,3,5,4,5,3,4,4,5,3,2,5,2,5,3,4,4,2,3,1,5,3,3,4,4,4,2,5,1,2,1,4,3,2,4,5,5,4,3,2,2,5,4,3,2,4,3,1,5,4,3,3,5,3,2,2,3,2,1,1,9,5,8,9,9,2,2,8,9,9,18,9,1,9,9,9,9,9,9,9,1,3,4,4,4,4,5,3,4,4,3,4,1,3,2,4,3,5,5,3,2,3,4,4,3,4,4,4,2,4,2,2,2,4,3,2,4,5,4,4,2,2,2,5,4,5,2,4,2,1,5,4,1,3,4,2,3,2,3,3,1,2,0,3,4.2,3.8,3.4,3.4,3.9,4.2,4.3,3.9,3.5,3.6,3.6,3.9,9,9,8,6.4
"119","2FeB-c_gX0siqc5gvo8TdbvPS1ZUoOderrgkTW-zETRRKNBDWFO6XRDzijY8P63W",1,5,5,5,1,5,3,4,5,1,4,1,1,1,4,5,4,1,5,2,2,5,1,1,4,5,5,1,4,1,1,1,3,5,5,5,5,5,3,5,5,4,5,5,2,1,5,1,1,5,5,1,5,5,2,1,1,1,5,1,1,9,1,9,9,9,1,1,9,9,9,20,1,1,1,9,9,9,9,9,9,1,1,5,5,5,1,5,5,4,1,1,1,1,5,1,2,5,4,3,5,1,1,5,4,4,5,4,5,1,3,1,1,1,5,4,5,5,5,5,3,1,1,3,4,5,1,1,3,1,1,5,5,1,5,1,1,1,1,1,3,1,2,2,6,4.3,2.3,4.6,3.5,4,3.8,3.9,2.6,4.1,4.3,4.2,4.5,3.66666666666667,9,8.42857142857143,7.4
"120","F5-fUIadmmvVP58ftrfA_B4P7zB3fvJ3rAX1_gZfSV07UaPdFt6cLwPb1H36zbOB",1,5,5,5,1,5,5,5,1,1,1,5,5,1,1,2,1,5,1,1,1,5,1,5,5,2,1,1,1,2,3,1,5,5,1,1,5,5,5,5,5,5,5,1,5,1,5,5,1,3,5,1,5,5,1,5,1,5,5,5,1,9,3,9,7,7,3,9,9,7,7,18,9,1,9,7,7,7,9,7,7,1,4,4,4,5,5,1,1,1,2,2,5,5,5,2,1,5,5,1,2,5,1,5,2,4,2,4,4,1,1,5,4,5,2,2,5,5,5,3,3,4,1,5,1,3,5,1,5,4,1,1,5,1,1,1,3,5,4,1,1,5,2,0,1,2.5,1.8,4.7,4.6,4.3,4.8,1.6,3.9,4.1,3.9,2.1,3,9,7.4,5.85714285714286,6.6
"123","MQOOU6W1WVaKLLMDBLFuqA8xsp5FxOzaN5vipPVQL7u2Ybz6T0JMixF24DUdM03L",1,5,4,5,5,3,5,3,1,3,5,1,1,1,5,5,1,1,1,1,1,5,5,5,5,5,5,1,5,3,1,1,5,3,1,3,3,5,5,3,1,5,5,2,5,1,5,5,5,4,5,1,4,3,1,1,5,3,1,1,1,9,1,9,9,9,1,1,9,9,9,18,3,5,5,9,9,9,9,9,1,1,1,5,4,5,5,5,4,5,1,2,5,1,5,1,2,5,5,3,1,1,1,5,5,5,3,1,3,1,4,3,1,1,5,4,1,5,5,5,3,5,1,3,4,1,2,1,5,5,3,4,4,5,2,2,1,3,3,3,1,1,3,1,2,2.6,4.3,4.2,4.1,4.2,4,3.3,4.8,4.2,3.8,4.7,4.4,4.33333333333333,9,8.42857142857143,5.8
"124","EJFCTmn6p67S3xlvb1oxnfZ_L6wqM0N2mHxvYD1mA2B2THZsKsiy-nbjBUX60ceQ",3,5,4,4,5,3,1,4,1,1,5,1,5,2,5,3,3,1,5,3,3,3,5,3,4,4,2,1,5,3,5,2,5,5,1,2,5,5,4,4,1,5,5,2,3,2,4,4,5,4,4,5,1,1,1,2,3,4,1,1,5,8,1,6,8,7,1,1,7,7,6,18,7,2,6,9,9,7,9,9,7,2,3,4,4,5,4,3,1,2,3,5,5,1,4,4,5,2,5,4,5,3,1,5,5,4,5,4,5,2,4,3,3,5,5,1,1,3,5,4,4,1,1,4,4,4,1,1,5,1,5,3,4,5,4,4,2,3,5,1,2,1,3,1,2,2.6,4.7,3.8,3.4,3.9,3.1,3.6,4.4,2.6,3.3,2.6,3.1,7,8.6,7,5.4
"128","e9GJoyDY3dg-dSDbFtgDUwRvzVdfnw6yl6-rl9zab7u76L1ZHy1t2SlEPa3Ka0c-",4,3,1,3,4,4,3,2,4,4,5,5,2,4,5,4,5,3,2,4,4,3,5,3,2,3,2,3,4,2,4,3,2,1,2,3,3,3,2,2,1,3,4,4,2,4,4,4,3,3,2,1,1,5,4,3,4,1,2,4,2,7,3,8,9,7,1,2,8,9,9,21,6,2,7,7,7,7,7,7,8,2,4,2,4,3,3,2,4,2,2,2,2,5,4,4,3,4,4,2,3,3,2,4,2,3,3,4,4,2,4,4,4,3,4,4,4,2,3,4,4,4,2,4,3,4,4,2,2,4,2,3,4,3,3,2,4,4,2,2,3,4,3,2,5,3,4.5,2.6,1.8,2.6,2.7,2,2.9,3.6,3.9,2.5,3,7,7,7.85714285714286,6
"142","yTrbz8xgM6RnzHC0Owrxhip4Ho9qnilMbruapXuIzzVu8bVHKFnQJiNQdZkemOmr",3,3,2,3,3,3,4,3,3,2,4,3,2,5,4,5,4,3,3,4,2,5,3,3,2,4,3,3,4,2,2,4,3,4,5,2,4,3,4,4,4,4,5,4,4,2,3,3,2,1,4,2,3,3,4,4,5,4,2,3,3,6,5,6,8,8,3,1,5,9,8,21,5,6,4,6,6,6,7,5,9,1,4,5,2,4,4,4,3,5,2,2,4,3,3,2,4,2,5,3,3,3,2,3,3,3,4,2,3,2,4,2,2,2,3,2,2,4,4,5,3,3,3,3,4,2,2,2,4,3,2,4,2,3,2,5,2,2,1,3,2,3,3,2,5,2.9,3.1,4,3,2.1,3.3,3.5,3.9,3.2,3,4.2,3.5,4.33333333333333,6,7.14285714285714,5
"143","W8s_UMuF2axM19yUlYMEkGbECt1HsJOGrv30Gx36_4b1wlvLkqBKF7jgDxQ99ZVc",1,4,3,4,2,4,2,4,1,2,4,1,3,1,1,4,4,1,3,3,2,4,5,2,4,4,2,1,4,4,3,2,5,3,2,3,4,4,3,4,2,3,5,2,4,2,5,1,2,2,5,1,2,5,1,3,1,3,2,2,1,9,1,6,9,9,1,1,7,9,9,23,5,2,7,9,8,8,9,9,9,2,2,2,5,5,5,4,4,1,1,1,4,1,4,3,1,5,4,1,2,2,1,5,2,1,4,3,5,1,5,2,3,4,5,2,5,2,5,5,5,2,2,2,5,4,1,1,5,1,2,1,4,3,2,5,1,2,1,4,2,1,3,4,10,3.6,4,4,4.1,3.5,3.8,4,3.8,4.1,4.5,2.7,4.2,6.66666666666667,8.6,8.14285714285714,6.8
"144","9qSfl0MEAmZGBKZ6BVRW5n5RgFA3fSTOk3GU7WWBIh4pa48ss7Oh4C7PWAMlVSYv",1,5,3,4,3,3,3,3,1,5,3,1,4,2,1,2,3,4,3,1,4,4,2,3,5,4,4,1,4,3,2,1,5,5,1,3,3,5,3,5,2,3,3,4,4,2,5,4,4,3,3,2,4,5,3,2,1,4,1,1,2,9,2,7,9,9,1,2,9,9,9,20,7,2,6,9,9,8,9,9,9,1,4,5,4,5,4,5,1,3,2,5,3,1,1,1,1,2,5,5,3,1,1,4,5,3,2,3,5,2,5,3,2,2,5,1,2,5,3,3,4,2,1,1,3,1,5,2,5,1,4,1,5,1,2,5,5,1,1,1,1,1,3,0,11,3.6,3.6,3.8,3.9,3.8,3.5,4.6,4.5,2.9,4.7,3.9,2.2,7,8.8,8.28571428571429,6.6
"149","o_DKNbD8dBh5ZQVzpXO7-oUeE0rLdnnM-Nzk3HYsE9v5pdk6wKuwcEKCkYOdS-WN",2,3,2,4,3,3,3,2,3,2,4,1,3,2,3,4,4,2,4,2,3,4,3,3,3,3,2,1,4,4,3,2,4,3,2,4,4,2,4,2,1,5,3,3,2,2,4,3,2,4,3,5,4,3,3,2,4,3,2,1,2,9,1,5,8,8,1,2,6,8,8,24,7,2,7,7,7,5,8,7,7,2,5,5,5,4,3,5,3,2,3,3,3,1,1,1,2,3,5,4,2,1,1,5,3,3,1,3,4,2,4,1,3,1,4,3,4,5,3,5,4,3,2,3,3,1,4,2,4,2,5,3,5,1,4,4,3,1,3,3,1,1,3,3,2,3.1,3.7,3.4,2.8,3.3,3.2,4.3,3.5,3.7,4.1,4.3,2.3,7.33333333333333,6.8,7.28571428571429,6
"154","VU4GtW5ZTl55NBSQBqkH4UEONuHslKWlTeCABBVEbitkm8mFZJViAnASnbIyROkQ",4,4,3,4,4,4,3,3,2,4,2,3,2,2,2,3,4,4,4,3,2,4,3,3,2,3,3,2,4,3,3,2,4,2,4,3,4,3,4,2,3,3,4,4,4,2,4,2,4,3,4,2,3,2,3,2,3,2,3,2,3,6,2,7,8,8,2,1,4,7,7,26,5,4,7,7,7,5,7,7,8,1,2,2,3,4,4,4,4,3,3,3,4,3,3,3,3,3,4,3,3,4,4,3,4,3,4,3,3,2,4,2,3,3,4,3,3,4,4,3,3,3,3,4,3,4,3,3,4,2,2,3,3,3,2,4,4,4,3,2,2,3,3,3,2,3.3,3.2,3.1,3.7,3.3,2.7,3.4,3.8,3.1,3,2.6,3.4,6,6.6,6.71428571428571,5.6
"157","r6pKVh6pF5cUsX2bu1NvP97xfKubc5vYenjI4eSLt-FAxao2513193zEcUDPBHgr",1,3,4,3,2,4,3,3,4,2,4,1,5,2,4,3,5,1,3,2,4,2,2,4,1,3,4,1,3,4,2,2,4,4,2,3,4,3,4,4,2,4,4,4,2,1,4,3,1,3,3,2,2,4,3,2,2,3,4,1,7,9,8,8,9,9,2,1,9,9,5,18,6,3,7,8,7,6,8,8,8,1,2,4,4,4,2,4,3,2,2,2,4,1,2,2,2,3,4,2,2,3,3,4,4,3,2,3,4,2,5,4,3,4,3,2,3,3,3,4,3,2,3,4,3,4,3,2,4,2,1,3,3,2,2,2,2,4,2,2,2,1,3,0,1,3.1,3.4,3.7,3.1,3.3,3.7,3.2,3.7,3.3,3.5,2.9,3.3,6.66666666666667,7.4,7.71428571428571,4.4
