,session,hex01,hex02,hex03,hex04,hex05,hex06,hex07,hex08,hex09,hex10,hex11,hex12,hex13,hex14,hex15,hex16,hex17,hex18,hex19,hex20,hex21,hex22,hex23,hex24,check1,hex25,hex26,hex27,hex28,hex29,hex30,hex31,hex32,hex33,hex34,hex35,hex36,hex37,hex38,hex39,hex40,hex41,hex42,hex43,hex44,hex45,hex46,hex47,hex48,hex49,hex50,hex51,hex52,hex53,hex54,hex55,hex56,hex57,hex58,hex59,hex60,age,sex,relation_type,phex29,phex30,phex31,phex32,phex33,phex34,phex35,phex36,phex37,phex38,phex39,phex40,phex41,phex42,phex43,phex44,phex45,phex46,check2,phex47,phex48,phex49,phex50,phex51,phex52,phex53,phex54,phex55,phex56,phex57,phex58,phex59,phex60,phex01,phex02,phex03,phex04,phex05,phex06,phex07,phex08,phex09,phex10,phex11,phex12,phex13,phex14,phex15,phex16,phex17,phex18,phex19,phex20,phex21,phex22,phex23,phex24,phex25,phex26,phex27,phex28,sex_partner,age_p,year,months,length,comit01,comit02,comit03,comit04,comit05,comit06,comit07,satis01,satis02,satis03,satis04,satis05,satis06,satis07,pHH,pEM,pEX,pAG,pCO,pOP,HH,EM,EX,AG,CO,OP,satis,commit
677,PqVUSLT_bUIAdcWo66QSZOWSynz9w_bvT2dBlG29GturI7uWAnDHMgBroVD73xCZ,1,4,1,4,4,3,4,4,1,1,5,1,5,1,1,1,5,4,4,1,1,4,1,3,2,5,2,3,2,5,1,3,2,3,2,1,3,3,5,4,1,1,3,4,3,4,3,3,3,2,3,5,3,1,4,2,1,4,1,1,1,NA,2,3,3,2,4,2,1,4,3,3,5,2,2,3,1,4,4,1,1,1,4,4,3,2,1,1,1,3,2,3,1,3,3,2,2,3,2,5,4,2,2,2,4,3,1,4,2,1,4,3,4,5,2,3,1,3,5,1,3,4,4,2,1,1,NA,0,0,0,9,9,1,1,9,9,9,5,5,5,1,5,5,1,2.9,3.4,4.3,2.4,3.2,3.1,3.8,4.3,2.8,3.7,4.2,3.9,5,8.428571429
684,TDosxiQaWJ_lftF5SayPhjrPfaHEcG85BehWkMfk5xMqay_PgL5roWm53RNxN7eY,3,4,2,4,4,2,2,3,2,2,4,2,4,4,4,4,4,2,2,2,2,4,4,3,2,3,4,1,2,5,4,4,4,4,4,2,3,4,2,4,4,2,4,4,3,3,3,4,4,4,2,2,2,2,3,4,4,4,3,2,2,NA,2,3,4,2,3,3,5,4,4,3,3,3,2,4,2,4,4,3,5,2,4,2,3,2,3,4,2,4,2,2,3,4,3,3,2,1,4,3,4,4,3,3,2,3,2,2,2,4,3,4,3,5,2,2,3,1,4,3,2,2,3,4,2,1,NA,0,0,0,9,9,3,5,4,7,3,4,3,2,2,3,3,3,3.1,3.1,3.8,3.5,3,3.6,2.7,4.1,3.8,2.8,2.6,3,3.142857143,5.714285714
685,NRPS9j42RicXVDk3Yrn_txdMXSOpadR8BHw1v9Rxn-leE0IWfLIG5Peztapkf7aI,2,2,2,2,3,2,3,2,2,5,5,5,4,2,4,2,5,2,2,2,3,2,5,3,2,3,5,1,2,4,4,3,5,3,2,1,3,3,3,4,3,1,4,3,2,2,5,5,4,4,3,5,5,4,2,5,3,4,2,2,5,23,2,3,3,2,3,2,4,5,3,3,3,3,4,4,3,3,3,3,3,2,4,3,3,3,3,4,2,4,2,2,2,3,3,2,4,4,4,4,2,3,3,4,3,3,2,2,4,2,4,4,4,3,2,3,2,3,4,3,3,2,2,3,2,1,30,3,1,37,9,9,1,1,4,9,6,2,3,3,3,2,5,3,2.7,2.9,3.8,3.3,3.4,2.9,2,4.3,2,2.8,2.7,3,3,7.285714286
724,Sp_OkxQGhsblMs3ZAzVQz33nDNC1i3tpx2b34Raq_OzPkSMpTl3giwKc5u5xMF-B,4,2,4,4,3,3,3,2,1,4,3,1,1,3,3,5,5,3,4,4,1,5,4,2,2,2,5,3,2,4,2,5,2,5,4,5,4,3,5,2,3,1,4,5,3,4,1,4,1,5,1,4,2,2,4,5,5,2,2,1,1,24,2,3,4,2,5,5,5,5,5,5,4,4,4,3,2,2,5,4,4,1,4,4,1,2,1,5,1,4,4,4,5,4,4,2,1,2,2,5,4,4,4,4,2,2,2,2,1,3,4,3,4,5,5,4,4,1,5,2,3,2,5,4,1,1,26,7,6,90,9,9,1,1,9,9,9,3,5,4,1,4,5,2,4.4,3.2,4.4,4.1,1.8,3.1,3.9,3.8,3.8,3.9,2.4,2.1,4.285714286,8.428571429
725,Ze_yKgftwIuRLO1KxqoN2HRDIMDQrDtA2XlnkdLk2crI0oma6Q-bO9ID8tY2U7g7,4,5,1,3,5,5,2,4,4,2,4,2,2,3,4,2,2,2,2,1,2,4,2,2,2,2,4,4,2,4,2,4,2,2,3,2,2,3,4,4,4,2,2,5,2,2,2,4,3,4,2,4,2,2,5,2,5,2,3,3,2,23,2,3,5,5,3,2,3,5,2,2,4,3,5,3,2,2,5,2,4,2,4,4,3,5,2,4,2,4,1,4,1,2,4,4,3,4,2,5,4,4,2,4,2,2,2,2,4,2,2,3,5,4,4,2,2,1,4,2,4,2,2,2,1,1,23,3,4,40,8,8,2,2,6,9,9,4,4,3,3,3,4,2,2.4,3.3,4.2,3.9,3.4,2.9,3.7,3.6,3.5,2.9,3.4,2.8,3.571428571,7.428571429
727,1mCtI_zBeYHykUMHtXQAIIvovLgvAm3Xam5fU3fxxOu_DlvcuZjF63Uyr6mZ7hED,2,5,3,5,1,2,2,2,2,2,3,2,2,4,2,3,4,3,2,2,2,2,3,3,2,5,4,3,2,2,2,2,2,5,4,2,2,4,2,2,4,4,2,4,2,5,1,2,4,4,2,5,5,2,2,2,2,1,4,1,2,25,2,3,2,2,2,2,3,3,3,2,2,4,4,2,4,2,4,2,4,2,4,4,4,2,2,2,3,4,2,2,2,2,2,4,2,3,3,4,5,2,2,4,4,2,2,4,2,2,4,4,4,4,3,2,2,2,3,2,3,4,4,2,2,1,26,0,1,1,8,6,2,2,3,8,8,3,2,3,2,2,1,2,3,2.7,3.4,3.3,3.3,3.5,3,3,3.6,4,3.1,3.5,2.714285714,6.428571429
730,5tmOFxuQmY3XFdzPhc6_ZKJ5Jzsi1h0SOP4fvddte4JrHH6AM_r8COUPdmhS3oFQ,3,2,2,2,4,4,2,2,4,4,4,4,2,4,4,2,4,2,2,4,2,4,2,3,2,4,4,2,4,4,2,4,4,3,3,2,4,2,2,4,2,2,4,4,4,3,4,4,2,4,2,4,4,2,4,4,4,2,2,2,4,26,2,2,4,2,4,2,4,4,2,4,4,4,4,4,2,2,4,2,4,2,4,2,2,4,2,4,2,4,2,4,2,2,2,2,3,4,4,4,4,3,4,2,2,2,3,2,2,2,2,2,4,4,4,4,2,2,4,2,3,3,2,3,2,1,25,0,6,6,7,7,4,4,8,8,8,3,3,3,2,2,3,3,3.6,3.1,3.7,3.9,3.6,2.5,3.1,3.8,2.3,3,2,2.7,3,6.571428571
732,zVOxPfXDF_1gbfbKLUBFRXWrziQQYG88sRF9Z_cjzvfmBkA_-uYIzXq45kKDl7Hq,1,5,4,4,5,5,1,2,1,2,5,1,5,1,5,3,5,4,2,2,3,2,5,2,2,4,4,3,1,5,1,1,1,5,1,1,5,2,5,3,1,1,2,5,2,3,5,5,1,1,4,5,1,4,5,3,1,4,1,1,1,23,2,3,4,5,4,5,1,2,5,2,2,2,2,1,2,4,2,5,1,2,4,1,4,2,1,1,1,1,4,5,5,4,2,4,2,3,1,1,5,3,2,1,1,2,1,5,2,1,5,4,5,3,2,5,5,3,4,1,4,1,5,1,1,1,26,2,10,34,7,9,1,1,5,8,7,1,3,3,3,2,4,4,2.5,2.9,3.8,1.8,1.1,1.8,4.7,4.7,2.7,3.4,4.1,3.9,2.571428571,7.142857143
733,mYNl3kiiMwLjkNWJZT6Xh_mpThLlvRHgGUBUl92-kl2bRcUKG7hQAvyDU8s7jcWm,3,5,3,4,2,3,2,2,2,3,4,2,2,1,4,3,4,4,2,2,1,4,4,2,2,2,4,2,2,4,2,2,2,4,2,4,3,2,5,4,3,2,3,4,3,3,2,4,1,4,4,2,2,2,4,3,2,2,2,1,1,24,2,3,3,2,2,1,4,5,2,2,3,4,4,4,4,2,4,4,4,1,4,2,2,4,2,4,3,4,4,3,3,2,5,4,2,4,4,4,4,2,4,4,2,2,2,2,3,1,4,4,4,3,2,2,1,2,4,2,2,1,4,4,2,1,27,0,0,0,9,9,1,1,9,9,9,3,4,4,2,3,5,2,3.5,2.4,4.2,3.8,3.1,2.8,3.9,3.7,3.3,3.3,3.8,2.8,3.857142857,8.428571429
736,HE7Yl04Fnb28bULUJGVMYNEVEDxUN6LiTkL_6VVUuXV4Do_DWOUm8hRLk7dgcIoV,2,5,2,4,4,2,3,4,4,2,4,2,5,2,5,5,5,3,5,4,5,4,5,4,2,5,4,2,2,4,4,5,4,3,5,1,4,4,2,3,5,2,5,5,2,2,5,3,3,4,4,3,2,2,5,4,5,4,2,2,4,25,2,3,4,2,2,2,2,4,3,3,4,4,4,3,4,3,5,2,4,4,4,2,3,2,4,2,2,4,4,2,2,2,4,4,3,2,4,2,4,3,4,4,4,3,2,3,2,2,2,4,2,2,4,2,2,2,3,3,5,4,2,2,2,1,25,3,10,46,9,9,1,2,7,9,9,3,3,3,3,1,4,5,3.3,2.6,3.4,2.9,4,3.9,2.8,4.2,3.8,2.1,3,3.2,2.571428571,8
744,6PBSL9EjvZwxe4PtBqX4Q9iITFpLrUKc0c_mhFfD6zVgcsraIgKyTeQUwBmwz0h8,2,4,2,3,2,3,4,3,2,4,4,3,3,2,4,3,4,3,4,5,4,3,4,3,2,5,4,4,3,4,2,3,2,4,4,2,4,3,3,4,2,2,4,5,4,4,2,5,2,5,2,4,4,2,4,3,2,2,2,2,3,23,2,3,5,2,2,2,4,3,3,2,3,3,4,2,2,3,4,2,4,3,4,4,2,4,2,4,3,2,4,2,2,2,2,2,3,3,4,2,4,4,2,4,4,2,3,4,3,2,5,2,2,5,2,4,3,2,3,3,3,3,3,2,2,1,24,0,4,4,7,7,2,1,7,7,7,4,3,3,2,3,3,2,3,4,2.9,3.6,3.2,3.1,3.3,3.9,2.8,3.4,2.9,3.3,3.428571429,6.857142857
746,Gzi5M17wpOMNnbO9GWBkEkDK2s0n-cgZlfY6YhY2GnGu4Yt3RwDiMXQDy668J10C,1,4,3,4,3,2,4,2,2,3,4,1,5,2,2,3,4,3,1,3,2,4,4,2,2,5,2,3,1,4,4,2,2,4,3,4,5,4,4,4,4,4,4,4,4,2,5,4,3,1,4,4,3,4,3,2,3,2,3,1,1,25,2,3,4,3,3,1,2,2,3,3,2,4,5,3,4,4,3,2,1,3,4,3,4,4,2,4,1,4,2,3,3,4,2,2,3,3,2,3,5,4,3,2,4,2,4,2,3,2,4,4,3,4,2,3,2,1,3,3,4,2,2,3,2,1,26,0,10,10,8,6,2,7,6,8,5,1,2,2,3,2,3,3,2.5,3.1,3.2,3.1,3.4,2.5,3.4,3.4,3.3,3.6,3.4,4.5,2.285714286,5.714285714
747,MDwlsuPAS2MUU4OUdQhC2l9bfBBoqPjFxBRSOozA3dBq9rwuXjsaFmYsh7EQKYp8,3,2,2,2,4,2,3,4,2,2,5,1,3,2,4,4,5,1,4,5,1,2,4,5,2,4,5,2,2,4,4,4,4,4,4,1,2,3,4,4,4,2,4,4,3,4,4,4,4,4,4,5,5,1,2,2,4,2,4,2,2,23,2,3,2,3,4,3,5,2,4,4,3,4,4,3,4,2,4,4,1,5,4,3,2,2,2,4,4,4,2,4,4,4,2,4,2,3,4,4,4,2,4,2,2,2,4,2,2,2,4,3,3,2,3,3,2,2,4,2,3,3,4,4,2,1,24,6,0,72,8,8,3,2,8,8,8,4,4,4,2,4,4,2,3.5,2.1,2.7,3.5,2.7,2.8,2.3,4.4,3.1,3.6,2.7,3,4,7.285714286
748,YpYx5I_ACV9fbFq9WEbSDQ8nQnm-xC16FfFsWjOECArUfEFvmVy8Haga5gF60GfT,2,2,4,3,4,3,4,3,4,4,2,2,2,5,5,4,4,2,3,5,2,4,4,3,2,4,4,4,3,5,2,4,3,4,3,5,3,3,3,3,2,2,3,5,5,5,2,4,3,2,3,5,4,2,4,4,5,4,2,2,2,25,2,3,2,4,2,2,3,2,2,4,4,4,4,2,2,2,5,2,4,4,4,5,4,2,4,4,1,4,4,1,2,4,4,4,2,4,5,3,4,2,4,2,4,4,3,2,2,3,1,4,2,3,2,4,2,4,4,3,3,4,2,2,2,1,25,2,11,35,9,8,1,1,9,9,9,4,4,4,2,4,3,2,3.3,2.9,3.2,2.8,4.2,3.5,3.3,3.6,2.9,3.4,2,3.3,3.857142857,8.285714286
749,slryPDRN_Zjzx6PtACbn6k_xMc3lq891QLCS0Zws04_7DrHVx17gDCWgFL6jhiFx,2,4,4,2,2,4,3,2,2,2,2,3,3,2,2,3,3,2,2,2,2,4,2,3,2,4,2,3,2,2,2,3,2,4,2,2,4,4,4,4,4,3,3,4,2,4,2,4,2,4,2,4,2,4,4,3,4,2,3,4,2,24,1,3,4,2,2,1,4,4,1,4,4,5,4,4,2,2,4,2,4,2,4,5,4,4,4,5,4,2,3,2,2,2,4,4,1,2,4,4,4,4,3,4,5,2,2,4,1,4,4,1,5,4,4,2,4,1,2,4,4,4,2,4,4,2,23,6,7,79,9,9,1,1,9,9,9,4,4,4,2,3,4,3,3.6,4,3.5,4.3,3.9,3.8,3.5,2.6,3.4,3.9,3.4,3.4,3.714285714,8.428571429
758,xA6rI7Tn_laJ5LCX5t4QhnJC7SKI8MrjJruOxmDkalQf1ioWb7w_JuxBRktoIjF4,4,5,2,4,5,4,3,5,5,2,5,2,4,1,4,2,4,3,4,2,3,3,3,4,2,4,5,2,2,4,4,2,2,2,2,2,4,2,5,4,4,3,3,5,3,2,4,5,3,4,4,2,2,2,3,2,2,3,3,2,1,24,2,3,4,4,4,1,5,3,2,3,4,5,3,4,3,3,4,4,5,2,4,5,3,4,3,4,2,4,3,4,2,2,4,2,3,3,4,4,4,3,3,2,3,3,2,2,3,4,2,3,4,4,2,3,2,2,4,3,4,3,2,4,2,1,24,1,6,18,9,9,1,1,8,9,9,3,3,3,2,4,3,2,2.7,3.4,3.9,3.9,3.8,2.9,3.3,4.1,3.2,2.3,4,3.2,3.428571429,8.285714286
759,TQWEDq3MLkljTuDpB3Py84MkEuO1_2e72tgNe1_58KAAFCDi0CcVHAFF1xmUV8nh,1,4,3,4,4,3,4,3,2,2,4,1,4,2,2,3,4,2,3,2,2,4,4,4,2,5,4,2,2,5,4,2,2,4,3,2,4,4,4,4,3,2,4,4,2,4,2,4,3,2,2,4,2,2,2,2,2,3,3,2,1,23,2,3,4,3,3,4,4,3,2,4,3,3,3,2,4,2,4,2,4,2,4,4,3,3,2,4,2,2,4,2,3,4,3,4,3,2,4,4,4,3,4,2,2,2,4,2,2,3,2,4,4,4,4,3,2,2,4,2,3,4,4,3,2,1,24,1,7,19,7,7,2,5,8,8,8,4,3,4,2,3,3,2,3.6,3.1,3.4,3.4,3,3.3,3,4.1,3.6,3.6,3.5,4.1,3.571428571,6.714285714
762,1bCWg9KAOTbK5i_W5qkRsOxIfonYrivIsi03_v3t9IPhmhMUqIgXMUYs2RKkeVRr,4,1,2,5,2,5,2,2,1,2,4,1,4,2,1,3,4,1,3,2,1,5,1,5,2,3,4,4,2,4,4,4,4,4,4,4,5,4,3,4,3,4,5,3,2,5,1,5,5,2,4,5,1,2,4,2,2,2,4,4,1,25,2,3,4,4,4,2,4,3,3,4,3,4,4,4,3,2,3,2,5,1,4,4,3,2,3,5,1,2,4,4,1,1,3,2,1,4,4,4,5,1,4,4,2,1,3,1,1,2,4,2,4,4,2,3,2,1,5,2,4,2,3,4,2,1,24,0,11,11,9,8,1,1,9,9,9,4,4,4,1,4,4,1,3.5,3,4.1,4.5,3.5,2.7,3,3,4.2,4.3,3,3.1,4.285714286,8.285714286
764,NsTWM7inp9WL0Qr7vtrUCYDe7Ppss4NQMTLTrXoOVMj9zU8aQt8i-BPBjgxrtu81,1,5,5,1,1,5,3,1,1,1,1,1,4,1,5,4,2,5,3,1,1,5,2,5,2,5,4,4,1,1,1,1,5,5,2,5,5,5,5,5,2,2,3,5,2,5,1,5,2,1,4,5,5,4,1,1,5,2,5,2,1,24,1,3,5,1,1,1,4,2,1,5,5,5,5,4,1,5,4,5,1,4,4,5,4,1,4,5,1,1,5,1,1,1,4,1,1,1,2,4,5,5,5,5,4,1,1,5,1,5,4,1,5,5,1,1,4,1,5,5,5,5,5,2,1,2,23,1,9,21,9,9,1,1,9,9,9,3,4,5,2,5,5,3,3.5,5,4.2,4.1,3.1,4.9,3.9,2.3,3.5,4.4,3.3,4.5,4.142857143,8.428571429
769,#NAME?,2,4,2,4,4,3,3,5,3,1,5,3,1,3,4,1,5,3,3,2,3,3,5,5,2,3,3,2,2,4,2,3,1,4,3,1,3,1,4,3,3,2,4,5,2,3,1,5,4,5,4,2,1,1,3,1,1,3,4,2,2,23,2,3,4,2,3,3,4,3,3,2,4,3,4,4,2,4,5,1,5,1,4,5,3,2,1,5,3,5,3,3,4,1,4,4,4,2,4,4,4,4,3,4,1,4,2,2,4,2,1,3,4,3,1,4,2,1,5,2,3,4,4,2,2,1,24,5,1,61,9,9,3,1,9,8,9,5,5,5,2,4,4,2,2.5,3,4,3.9,3,3.5,2.8,4.6,3.7,2.7,4.1,2.9,4.428571429,8
772,kpKwzhy1IHkwjZ6oE_RVqNRxmJB167br2CPjY3Vpay2H1L3x8QxuiCNrIQxyBUig,4,5,3,4,5,4,4,2,2,4,4,2,2,2,4,4,2,2,2,2,2,4,4,2,2,4,4,4,2,4,2,5,2,4,2,2,4,4,4,4,4,2,4,5,4,4,2,4,2,4,4,5,4,2,5,4,2,2,2,3,2,24,2,3,4,2,4,2,4,2,2,5,2,4,4,3,2,4,2,4,4,2,4,4,4,4,3,4,4,2,4,2,2,2,4,2,2,4,4,4,4,4,5,4,4,2,2,4,2,4,2,4,4,4,4,4,4,2,4,4,3,4,4,4,2,1,24,1,4,16,7,5,6,5,6,7,4,4,3,3,4,3,3,2,3.7,4,3.5,3.8,3.3,2.8,3.7,3.8,3.2,3.8,3.5,3,3.142857143,4.857142857
779,iigHB-bjgvmjzRzkuYwV9dTGleic6RVpJFHvX1I24yHbaR4cwebEDET19gwDu7Q9,1,5,2,4,2,2,5,5,2,1,4,4,4,1,3,4,4,1,1,1,2,5,3,2,2,5,4,1,2,5,3,2,1,4,4,3,3,2,4,5,3,1,5,5,4,3,2,4,2,3,2,2,4,2,5,1,1,3,3,1,1,25,2,2,4,2,3,2,3,4,2,3,3,4,4,4,2,4,4,2,2,2,4,4,4,2,5,4,4,4,2,2,2,4,5,2,2,2,4,3,4,4,4,5,5,4,2,2,2,2,2,2,2,5,2,4,2,2,4,2,3,4,2,3,2,1,29,2,3,27,6,6,2,2,7,6,7,NA,NA,NA,NA,NA,NA,NA,3,3.5,3.7,3.1,4.2,3.5,3,3.9,3.8,3.1,4,4.3,NA,6.285714286
780,nhsTUskN3miEFqE5xxBgxwwaWQEowM3OSjgWqltmk1IYav0_tjBfl9UveyOSWl7l,1,4,2,4,2,4,2,4,2,2,5,2,2,2,4,2,5,2,4,2,2,4,4,2,2,4,4,2,2,5,4,2,2,4,2,2,3,3,4,4,3,1,5,5,2,3,2,5,1,4,2,4,4,2,2,2,2,4,2,2,2,25,2,3,4,4,2,1,2,5,1,2,4,4,4,4,1,5,4,3,2,2,4,5,2,4,2,2,2,2,4,4,2,4,2,2,2,4,4,2,4,2,2,2,4,2,2,4,2,2,3,3,4,5,2,4,2,4,4,3,2,2,4,1,2,1,25,0,3,3,9,9,1,1,9,9,9,5,5,5,2,4,4,2,2.9,4.1,3.9,2.4,3.5,2.6,3.1,4.3,3.1,3.1,3.6,3.3,4.428571429,8.428571429
784,F-xlHLN4XDwnYXiAbwFUV_gVc5XRi0gs3aEIEw2rEg1zPpyNfxej6dIr-mknB8wd,2,2,4,4,4,4,2,2,2,3,4,1,2,3,4,3,5,3,2,4,3,4,2,3,2,4,4,5,2,5,2,4,4,4,3,4,5,4,4,4,4,2,3,3,4,3,2,4,2,5,3,4,2,2,5,3,4,4,2,2,1,26,2,3,4,2,4,2,3,3,2,5,4,4,3,3,4,3,4,4,3,3,4,4,3,1,2,3,2,4,4,5,2,4,3,3,1,3,4,2,4,3,5,2,2,4,3,3,1,4,4,4,4,4,2,4,2,4,2,2,4,4,4,2,3,1,26,1,2,14,4,8,3,4,5,6,8,3,3,3,3,2,3,4,3.8,3.1,3.2,2.4,3,3.1,4.1,3.8,3.5,3.5,2.4,2.9,2.714285714,5.714285714
785,8QShFOi3GxA28inua6m2TIDqDc1L5fgwX3HntM6GTGOVtXLnxA4wKZPEyo6kf7gj,1,2,2,3,2,5,5,2,1,5,2,1,2,2,4,2,4,5,2,2,1,5,2,3,2,5,4,2,2,4,2,4,4,3,2,4,5,2,3,2,3,1,3,5,2,5,4,1,3,2,2,4,2,4,5,2,4,4,3,2,1,25,2,4,3,3,2,4,4,2,5,2,2,4,4,2,2,2,4,4,5,1,4,2,2,3,1,5,2,4,2,4,4,2,2,2,1,2,5,2,2,4,2,5,2,1,4,2,1,1,2,4,4,2,5,2,2,1,5,2,2,2,4,4,1,1,28,2,7,31,9,9,1,1,9,9,9,5,5,5,1,5,5,2,3.6,2.6,3.3,4,2.8,3.1,4.3,2.8,2.9,3.2,2.7,3.8,4.857142857,8.428571429
786,S-dyDIDISomWWhyRmhnUBKKfQtKwocHYgAasgQ7RW6o5F-4ocuUTeakTNy9dGPJu,3,4,2,5,4,2,4,3,1,2,4,3,2,2,1,4,3,1,4,4,3,4,2,5,2,1,4,1,1,5,4,3,4,4,4,3,2,4,4,4,4,3,5,4,3,2,2,3,5,3,3,3,3,3,4,4,4,3,4,3,4,23,2,3,3,4,2,2,4,3,4,3,5,4,3,4,4,2,5,4,5,2,4,3,3,2,2,5,2,4,2,4,4,2,2,2,3,1,1,3,4,2,3,5,2,1,3,3,2,5,2,1,4,4,3,4,2,1,4,3,3,4,5,3,1,1,27,0,4,4,9,9,3,5,9,8,9,4,4,4,2,4,3,2,3,2.8,3.7,4.2,2.6,4.1,1.9,3.3,4.1,3.2,2.9,2.8,3.857142857,7.428571429
787,xY31aCXCfLi37u9R1pEWhe8lLN4CmK85NDRWwdIsMxW8bXgwwp0slNBEAJmKwU3O,2,5,5,5,5,5,5,2,1,4,2,1,4,1,2,2,3,5,5,1,1,5,4,3,2,5,3,5,1,4,2,2,1,5,1,5,5,4,4,3,2,2,1,5,1,5,2,4,1,1,3,5,1,3,5,1,1,4,1,4,1,24,2,3,2,2,1,1,5,4,2,5,5,5,4,1,2,1,5,1,5,1,4,4,2,2,3,5,1,4,5,1,1,4,5,4,1,1,5,5,5,2,5,5,2,1,1,1,1,4,1,1,2,5,5,5,1,1,5,2,3,5,2,5,1,2,26,4,8,56,9,9,1,1,9,9,9,5,5,5,1,5,5,2,4.6,2.8,4.2,4.6,4.4,4.4,4.7,3.2,3.2,4.4,4.2,4.2,4.857142857,8.428571429
792,3bQ_rFHuaqFFwNU756Len400h_AqIhyHgCoUN6SyONcm4fjtxuw0zmHkw6EYvZj7,4,5,4,4,4,4,4,1,1,2,2,1,2,1,2,4,3,2,4,2,1,5,2,2,2,2,4,4,2,4,2,4,2,4,3,2,5,3,4,4,4,2,4,4,2,3,2,4,1,2,2,4,1,2,4,4,2,2,3,3,1,25,2,3,2,2,2,2,4,3,2,4,3,4,4,4,2,3,4,2,3,2,4,3,1,3,3,4,1,4,4,2,3,3,3,2,1,3,4,4,4,3,4,4,1,2,3,2,1,2,2,2,3,2,2,4,3,2,4,2,2,2,3,3,2,1,27,0,0,0,9,9,1,1,9,9,9,5,5,5,1,4,4,2,4,2.8,3.7,3.7,3.3,3.1,4,3.4,4,4.1,3.5,2.7,4.571428571,8.428571429
793,jQvhvCH3fhUPSuhxLoX3JZerv62ciqtMipnnJSsdnUN6kuUWjjVXF-Cs1C6ezP-2,2,4,4,4,2,3,4,4,1,3,1,1,4,2,2,3,4,2,2,2,1,4,4,4,2,3,2,4,3,3,3,4,2,4,2,3,4,3,4,4,3,3,3,2,2,3,3,4,4,3,4,4,2,4,3,2,2,2,3,2,1,23,1,3,4,2,3,2,3,2,2,4,3,4,2,2,4,2,3,2,3,3,4,4,4,2,4,3,2,3,4,2,2,2,2,2,1,3,4,4,4,4,5,3,5,4,3,2,1,3,2,4,3,4,4,3,2,2,3,4,2,4,3,3,3,2,24,1,6,18,8,9,3,2,7,8,8,3,4,4,2,3,4,2,4.1,3.5,2.9,3,4,3.3,3.2,3,3.2,4.1,4,3.3,3.714285714,7.285714286
796,2Gyx164V_Hf8vjBoOEhjLgVj5qeC1leP0nxONh5KrjxMuAeEzD15nvll49LJp-sg,2,4,1,4,4,4,2,2,1,2,4,1,1,2,2,3,2,2,2,2,1,4,2,3,2,4,4,2,1,4,2,4,2,4,2,4,2,2,4,4,3,2,4,4,3,4,2,4,2,4,2,4,1,1,4,4,2,2,4,2,1,23,2,3,4,2,3,2,4,3,4,2,2,3,4,3,2,4,4,4,4,2,4,4,2,2,2,4,3,2,3,3,3,3,3,2,1,3,3,3,4,4,2,3,2,2,2,3,1,2,3,2,3,4,2,3,3,2,2,3,3,4,4,2,2,1,23,8,0,96,7,7,1,2,7,7,7,3,3,4,3,3,3,2,3.2,3.6,3.3,3.6,2.7,3.1,3.5,3.5,3.8,3.7,3.3,2.7,3.285714286,6.857142857
798,1Cg7n5mBM0Qh1wXsOmCavllptn3tjl605XKEt7w1qXk8eZg_LoZshWXFsQ0Lhfjn,2,4,2,3,5,4,3,2,2,2,5,2,5,4,1,4,5,4,2,3,2,5,2,3,2,4,4,2,2,4,4,4,2,4,4,4,3,5,2,4,4,2,4,5,4,4,1,5,3,2,2,4,4,2,5,2,3,2,2,2,2,24,2,3,4,3,4,2,4,4,2,3,3,5,3,3,2,4,4,2,4,2,4,3,2,4,2,5,3,3,3,2,1,2,2,4,2,2,5,5,3,2,4,4,4,1,3,5,1,2,2,1,3,5,4,1,2,1,3,2,3,2,4,2,2,1,25,6,3,75,9,9,1,1,9,9,9,4,4,4,1,3,4,2,3.5,3.4,3.2,4.2,3.9,3.2,3.4,4,3.7,3.7,2.6,4,4,8.428571429
802,RYiEU3z8GJ6H2C5bx5SA9vnFqGTy0dBN8i6Ot66s6KvgiI-6CMOLXPuDQz5uhqUq,2,4,2,4,4,4,3,3,3,2,4,2,3,2,3,3,4,4,3,2,3,4,3,3,2,4,3,3,2,4,2,3,2,4,3,4,4,2,4,3,3,3,3,4,3,3,2,4,2,4,4,3,3,3,4,2,2,3,3,2,1,25,2,3,3,1,2,2,4,2,3,4,4,4,3,3,2,1,3,1,4,2,4,3,2,3,3,4,2,3,5,1,3,2,3,2,1,1,4,4,5,3,5,5,2,3,3,2,1,4,2,3,3,3,4,2,2,2,4,3,3,4,2,4,3,1,24,3,0,36,9,9,1,1,9,9,9,3,4,4,1,4,4,2,4.5,3.1,3.4,3.7,3.7,4.1,3.9,3.5,3.5,3,3.7,3.2,4,8.428571429
