,session,hex01,hex02,hex03,hex04,hex05,hex06,hex07,hex08,hex09,hex10,hex11,hex12,hex13,hex14,hex15,hex16,hex17,hex18,hex19,hex20,hex21,hex22,hex23,hex24,check1,hex25,hex26,hex27,hex28,hex29,hex30,hex31,hex32,hex33,hex34,hex35,hex36,hex37,hex38,hex39,hex40,hex41,hex42,hex43,hex44,hex45,hex46,hex47,hex48,hex49,hex50,hex51,hex52,hex53,hex54,hex55,hex56,hex57,hex58,hex59,hex60,age,sex,relation_type,phex29,phex30,phex31,phex32,phex33,phex34,phex35,phex36,phex37,phex38,phex39,phex40,phex41,phex42,phex43,phex44,phex45,phex46,check2,phex47,phex48,phex49,phex50,phex51,phex52,phex53,phex54,phex55,phex56,phex57,phex58,phex59,phex60,phex01,phex02,phex03,phex04,phex05,phex06,phex07,phex08,phex09,phex10,phex11,phex12,phex13,phex14,phex15,phex16,phex17,phex18,phex19,phex20,phex21,phex22,phex23,phex24,phex25,phex26,phex27,phex28,sex_partner,age_p,year,months,length,comit01,comit02,comit03,comit04,comit05,comit06,comit07,satis01,satis02,satis03,satis04,satis05,satis06,satis07,pHH,pEM,pEX,pAG,pCO,pOP,HH,EM,EX,AG,CO,OP,satis,commit
630,34cH3yrq4tTIDh_nrhvNHNUqFzbpHGwGyh-icdYLeBHovxI-60SRbE5ObUO6W5zv,3,5,3,3,5,5,1,2,3,3,5,5,1,3,3,3,4,2,4,3,2,4,2,2,2,1,4,3,5,5,3,4,4,3,1,3,3,2,4,4,2,2,5,4,4,4,4,4,3,5,1,4,4,1,5,4,2,3,2,3,4,18,2,2,2,1,2,1,2,1,2,5,2,5,3,3,3,1,3,2,3,1,4,4,2,5,3,4,2,4,1,3,1,4,4,4,1,4,5,3,5,2,5,4,3,5,2,1,1,2,2,4,5,4,5,3,2,4,5,2,4,1,3,2,2,1,22,0,1,1,9,9,1,2,1,9,9,2,2,1,4,3,4,4,4.2,2.6,4,2.4,4.1,2.5,2.9,4,2.3,3.4,2.8,1.9,2.285714286,7.142857143
638,NkVqbpV_yxQlwwlcijh-D3XVCAdPMtqAK3twCubyfIeocm9LFi5NpOyYdI5zLzQB,2,4,1,2,3,2,3,2,2,2,4,1,4,2,4,4,2,2,3,2,2,4,3,3,2,4,4,2,2,2,4,4,2,4,2,2,2,4,4,4,3,2,4,4,4,2,2,4,2,4,3,2,2,2,3,3,2,4,2,2,1,19,2,3,4,4,2,2,3,4,1,2,5,4,4,4,2,5,2,2,2,4,4,2,2,4,2,2,4,4,2,2,2,4,4,4,4,4,4,2,2,2,2,3,4,2,2,2,5,4,4,4,3,4,1,4,2,2,1,2,4,5,4,2,2,1,18,1,4,16,9,9,1,1,5,9,9,3,4,4,1,4,4,3,1.9,2.9,3,2.7,3.4,3.3,3,3.4,3.3,2.7,3.3,3.3,3.857142857,7.857142857
639,f3JuKHILe-sc8JznQsGT4HRYEO3MPaobhv25ApH2W8DWfFqF09SKJLUeeYv1psY3,2,5,3,4,4,5,4,3,3,2,4,1,4,1,3,4,4,5,3,1,3,5,4,3,2,5,4,5,1,2,1,3,1,5,4,5,5,4,5,4,4,2,1,5,3,3,5,5,1,2,4,3,1,5,5,2,1,2,3,4,1,19,2,3,1,1,1,1,5,5,5,5,5,5,5,5,1,1,5,1,5,1,4,5,1,1,5,5,1,5,1,1,1,1,5,1,1,1,5,5,5,5,5,5,1,1,1,1,1,5,1,1,5,5,5,1,1,1,5,5,1,5,1,5,1,1,20,0,1,1,9,9,1,1,9,9,9,5,5,5,1,5,5,1,4.6,3.4,5,5,4.6,5,4.8,3.1,3.9,3.6,4.2,4,5,8.428571429
646,sVzzc5dpV1yEAmh11GOTnUevz_XCHs0nd_MpOk6pefOKditiyPfb3nT-6QfHCJz_,2,4,3,3,5,5,2,4,2,3,5,1,4,1,5,5,4,3,2,2,2,4,4,4,2,5,3,3,2,5,3,3,2,5,2,1,5,3,4,4,3,3,3,3,2,3,2,4,2,2,2,3,1,1,5,5,2,2,3,2,1,19,2,3,2,3,2,2,4,4,1,5,3,4,4,4,4,2,5,2,3,2,4,4,2,1,2,4,1,2,5,5,3,2,2,3,1,2,3,4,4,4,5,1,3,2,3,4,1,4,2,5,3,4,3,2,2,2,1,2,4,5,4,3,2,1,19,0,4,4,9,9,1,1,9,9,9,4,4,4,2,4,4,3,4.1,3.4,3.4,3.5,3.3,3.6,4,4.4,3.6,3.4,3.8,3.3,3.857142857,8.428571429
648,nGpf-lIoOQin7BI9991NWES_nAwB8wmu5f07a7mUWJvOoHe5os1OETaj1QFBhiQO,1,4,2,4,4,5,3,3,4,3,5,2,3,3,5,2,4,2,1,2,1,4,1,3,2,5,4,2,1,4,1,1,2,2,2,4,4,5,4,5,3,1,3,3,4,5,2,5,2,1,3,3,3,3,5,2,2,4,2,2,2,19,1,3,4,1,1,2,4,3,2,5,5,5,3,3,1,2,3,3,2,2,4,5,1,1,3,5,2,2,5,3,4,5,5,1,1,1,3,2,5,5,5,4,3,5,2,5,1,5,4,5,4,5,5,1,2,2,4,5,4,5,4,2,1,2,18,0,4,4,9,9,1,1,9,9,9,4,4,5,1,4,5,3,4.6,4.7,4.1,2.5,3.1,4.5,3.9,3.7,3.2,2.9,3.3,4.3,4.285714286,8.428571429
662,LNkaBqG-2hAdbh1w91pPDxgHadBdolvXq8AgLGqCuuwxUzhAb8E1oaNEBRLS6mTn,1,4,4,5,4,5,5,2,2,2,2,2,4,2,2,4,5,2,5,4,1,5,2,1,2,5,3,4,1,5,2,3,2,5,3,5,2,5,4,4,4,2,4,5,2,4,1,2,2,2,2,5,1,4,5,2,4,1,2,1,2,22,2,3,5,2,5,1,2,1,2,1,2,4,4,2,4,2,3,1,2,2,4,4,4,4,5,4,4,4,2,4,1,3,4,5,4,4,5,2,4,5,2,2,5,4,4,4,4,1,1,2,2,1,1,5,1,4,2,1,3,1,1,2,2,2,29,3,6,42,7,7,6,2,4,6,6,3,3,3,3,3,3,2,2.3,2.9,2.7,2.7,4.9,1.7,3.7,3.2,4.2,4.4,3.1,4.1,3.142857143,5.428571429
668,vJholCbrED3vn1UKu_kKwZ15UYGkY_kESJ--hJWCgU5BeWOQGkZVAhuvEB_0uvrc,2,3,3,4,3,3,3,4,2,2,4,1,3,2,3,4,4,5,2,2,2,3,4,3,2,3,3,3,2,4,3,4,2,4,3,3,4,3,4,4,4,2,3,5,3,3,2,4,4,4,3,4,3,4,4,2,2,3,3,2,1,NA,2,3,2,2,2,1,2,2,2,5,4,4,2,2,2,3,5,3,2,3,4,3,4,2,4,4,3,5,4,2,3,4,2,3,1,2,4,5,2,2,4,4,5,3,3,4,1,2,2,5,2,4,5,3,2,3,3,2,3,3,3,4,1,1,NA,0,0,0,8,7,3,1,6,8,6,2,2,2,2,2,3,3,4,2.9,2.7,2.8,3.9,3.7,3.7,3.6,3.6,3.5,3.6,3.3,2.571428571,6.714285714
671,_V0SdYXnEZvRugHJpo4Z6PQCRT5P06oiR2uG1hvLOvxuEsl3XUclog2WYPMHuAcO,1,4,1,2,2,3,4,2,3,5,4,2,5,2,3,1,4,2,1,4,3,1,2,2,2,5,4,2,4,4,4,2,3,4,2,1,1,4,5,4,2,2,4,3,4,2,3,5,2,2,2,4,5,2,2,2,2,2,2,4,1,22,1,3,5,3,1,2,4,3,4,4,4,4,5,5,2,2,5,3,2,2,4,2,4,5,5,4,2,3,4,1,1,4,3,2,2,1,5,2,5,5,4,5,5,4,2,4,3,5,1,4,3,5,3,2,2,3,3,4,4,5,2,2,2,2,22,1,0,12,9,9,1,1,5,9,9,4,2,2,1,2,4,5,3.3,3.8,3.8,2.8,4.4,4.4,2.9,3.6,1.7,3,3,4.3,2.857142857,7.857142857
672,JI6HM57Qybkt1vlZyMBpQ0Ziylqd1CrzcA-TZkImdYm671iWxxm4hUdUfSfrM8Et,3,4,4,5,2,5,4,3,1,1,2,1,2,1,1,5,2,4,1,1,1,5,1,4,2,4,3,4,1,2,2,1,1,4,4,3,5,3,5,4,2,2,1,5,1,4,2,5,1,2,3,5,1,4,5,1,1,1,3,4,1,24,1,3,4,4,2,4,5,2,4,5,3,2,3,2,1,4,5,2,4,2,4,4,1,4,2,5,2,4,4,1,3,2,2,4,1,2,4,5,4,4,5,2,2,1,2,2,1,3,1,1,4,4,5,3,2,1,5,1,4,4,3,4,2,2,22,0,8,8,9,9,1,1,9,9,9,4,5,4,1,4,5,2,4,3,3.5,4.5,3.1,3.5,4.5,2.5,4.3,4.5,4.3,4,4.428571429,8.428571429
674,CG8pJLCm9N7kCsUgAvUhsA0JA1gHY1YrKwFCINjmX3kn9ocEGU9axV4cRcezl6jw,3,4,2,4,4,3,3,3,4,1,5,1,3,2,4,3,4,3,2,4,3,3,4,5,2,5,4,1,2,4,4,1,2,4,4,2,4,4,5,3,4,2,2,4,3,2,2,3,5,1,4,2,3,2,5,1,2,4,4,2,1,NA,2,3,4,2,4,3,2,2,4,2,2,2,3,1,2,2,3,3,3,2,4,4,2,4,2,2,3,3,4,3,4,3,1,2,1,4,2,2,4,3,4,4,1,3,4,2,1,1,5,3,2,4,3,3,2,4,4,3,2,2,4,3,2,1,NA,0,0,0,5,2,7,5,3,2,1,4,2,3,3,2,2,3,3.9,3.3,2.7,2.6,2.2,2.4,3.3,4,3.8,2.3,3.5,4.1,2.714285714,2.428571429
