,anchor,session,hex01.x,hex02.x,hex03.x,hex04.x,hex05.x,hex06.x,hex07.x,hex08.x,hex09.x,hex10.x,hex11.x,hex12.x,hex13.x,hex14.x,hex15.x,hex16.x,hex17.x,hex18.x,hex19.x,hex20.x,hex21.x,hex22.x,hex23.x,hex24.x,hex25.x,hex26.x,hex27.x,hex28.x,hex29.x,hex30.x,hex31.x,hex32.x,hex33.x,hex34.x,hex35.x,hex36.x,hex37.x,hex38.x,hex39.x,hex40.x,hex41.x,hex42.x,hex43.x,hex44.x,hex45.x,hex46.x,hex47.x,hex48.x,hex49.x,hex50.x,hex51.x,hex52.x,hex53.x,hex54.x,hex55.x,hex56.x,hex57.x,hex58.x,hex59.x,hex60.x,responsive02.x,responsive03.x,responsive04.x,responsive05.x,commit01.x,commit02.x,commit03.x,commit04.x,commit05.x,commit06.x,commit07.x,age.x,matevalue01.x,matevalue02_R.x,matevalue03.x,satis01.x,satis02.x,satis03.x,satis04.x,satis05.x,responsive01.x,sex.x,phex01.x,phex02.x,phex03.x,phex04.x,phex05.x,phex06.x,phex07.x,phex08.x,phex09.x,phex10.x,phex11.x,phex12.x,phex13.x,phex14.x,phex15.x,phex16.x,phex17.x,phex18.x,phex19.x,phex20.x,phex21.x,phex22.x,phex23.x,phex24.x,phex25.x,phex26.x,phex27.x,phex28.x,phex29.x,phex30.x,phex31.x,phex32.x,phex33.x,phex34.x,phex35.x,phex36.x,phex37.x,phex38.x,phex39.x,phex40.x,phex41.x,phex42.x,phex43.x,phex44.x,phex45.x,phex46.x,phex47.x,phex48.x,phex49.x,phex50.x,phex51.x,phex52.x,phex53.x,phex54.x,phex55.x,phex56.x,phex57.x,phex58.x,phex59.x,phex60.x,relation_type.x,year.x,month.x,hex01.y,hex02.y,hex03.y,hex04.y,hex05.y,hex06.y,hex07.y,hex08.y,hex09.y,hex10.y,hex11.y,hex12.y,hex13.y,hex14.y,hex15.y,hex16.y,hex17.y,hex18.y,hex19.y,hex20.y,hex21.y,hex22.y,hex23.y,hex24.y,hex25.y,hex26.y,hex27.y,hex28.y,hex29.y,hex30.y,hex31.y,hex32.y,hex33.y,hex34.y,hex35.y,hex36.y,hex37.y,hex38.y,hex39.y,hex40.y,hex41.y,hex42.y,hex43.y,hex44.y,hex45.y,hex46.y,hex47.y,hex48.y,hex49.y,hex50.y,hex51.y,hex52.y,hex53.y,hex54.y,hex55.y,hex56.y,hex57.y,hex58.y,hex59.y,hex60.y,responsive02.y,responsive03.y,responsive04.y,responsive05.y,commit01.y,commit02.y,commit03.y,commit04.y,commit05.y,commit06.y,commit07.y,age.y,matevalue01.y,matevalue02_R.y,matevalue03.y,satis01.y,satis02.y,satis03.y,satis04.y,satis05.y,responsive01.y,sex.y,phex01.y,phex02.y,phex03.y,phex04.y,phex05.y,phex06.y,phex07.y,phex08.y,phex09.y,phex10.y,phex11.y,phex12.y,phex13.y,phex14.y,phex15.y,phex16.y,phex17.y,phex18.y,phex19.y,phex20.y,phex21.y,phex22.y,phex23.y,phex24.y,phex25.y,phex26.y,phex27.y,phex28.y,phex29.y,phex30.y,phex31.y,phex32.y,phex33.y,phex34.y,phex35.y,phex36.y,phex37.y,phex38.y,phex39.y,phex40.y,phex41.y,phex42.y,phex43.y,phex44.y,phex45.y,phex46.y,phex47.y,phex48.y,phex49.y,phex50.y,phex51.y,phex52.y,phex53.y,phex54.y,phex55.y,phex56.y,phex57.y,phex58.y,phex59.y,phex60.y
11,9UHPxHUvFbMQaCGuRp2q,9UHPxHUvFbMQaCGuRp2qb1OtRKITDCGslZyxB2fH5ubG0YNsNjx0j59wZpZ2CkoP,2,4,2,5,4,3,3,2,2,1,3,3,3,4,2,5,5,2,3,3,3,2,4,3,1,4,1,1,5,4,1,5,4,4,2,5,3,4,5,2,1,3,5,4,2,3,5,4,4,1,2,5,3,3,1,3,4,4,1,1,7,8,1,5,9,9,1,3,9,9,8,22,6,3,6,9,9,9,9,9,9,2,4,4,3,5,5,4,3,5,4,1,5,1,4,2,4,4,5,1,3,2,3,3,3,3,1,4,3,1,5,3,2,1,2,5,2,5,3,5,5,5,1,4,4,4,5,2,5,4,2,4,1,4,2,3,3,3,3,3,3,1,3,1,9,1,5,3,4,5,3,5,5,4,2,5,5,3,3,4,5,5,5,1,1,2,2,2,4,5,2,4,2,5,4,4,1,2,4,1,3,5,5,5,4,5,5,5,5,3,2,5,4,2,4,2,2,3,1,1,2,4,5,1,1,1,9,1,8,9,9,1,1,8,9,9,22,8,5,7,9,9,8,9,9,9,1,3,2,1,4,5,5,1,1,3,1,5,1,1,4,3,5,5,5,4,5,4,3,4,3,5,5,1,1,5,2,5,5,5,4,4,4,3,1,4,4,1,5,3,5,3,1,5,2,4,2,3,3,1,5,3,5,3,4,1,1
12,9ul3mkYwI-yAKWDKOTJm,9ul3mkYwI-yAKWDKOTJmP6zEaP2n1xD1QwKMzE2wa-11yJwnhhNiQa7qkVD__RNy,4,3,3,4,4,5,2,3,2,4,4,2,2,4,3,2,4,3,2,3,3,3,4,3,2,4,3,3,4,3,2,3,4,1,2,3,3,3,3,3,2,4,4,4,3,4,4,4,3,4,4,3,2,3,3,3,4,2,2,2,2,7,5,7,8,7,2,6,7,8,7,18,7,7,7,8,8,7,7,8,7,1,3,3,3,4,4,3,3,2,2,2,2,3,2,3,2,4,4,3,3,3,2,5,4,3,3,3,4,3,4,4,3,3,3,4,4,4,3,3,3,3,2,4,3,3,2,1,5,3,4,3,4,4,3,3,4,3,3,3,2,2,3,0,2,1,5,3,4,3,4,2,2,4,2,1,1,4,1,3,4,2,4,3,2,1,5,2,2,4,3,3,2,2,2,2,2,4,2,5,5,5,5,4,2,4,3,4,2,4,1,4,3,1,2,4,1,5,5,2,2,2,3,2,1,2,9,3,8,9,9,2,1,7,9,9,NA,5,3,5,8,7,6,9,9,9,2,2,2,4,5,3,5,3,2,2,3,2,1,4,2,1,3,3,4,3,2,1,5,2,2,3,3,3,1,2,2,2,2,4,1,4,5,4,4,4,2,2,2,4,2,2,1,2,2,2,2,3,2,4,5,4,4,4,3,2,1
14,aAhvfT2BA3Zuw0eZJxhj,aAhvfT2BA3Zuw0eZJxhjwc5nBloqu4d7QMv0cn2UyQPTCzraZKnS5kOqHhFXEoX-,3,4,4,2,5,5,1,2,1,4,4,1,1,2,4,2,4,5,1,1,2,4,4,1,3,4,2,3,3,1,4,1,4,1,2,5,2,5,1,2,2,1,2,4,1,2,5,1,5,1,4,4,2,1,3,1,2,1,2,1,1,8,1,6,9,8,1,1,8,9,8,18,2,7,2,8,5,7,9,4,8,2,3,4,4,5,2,5,1,1,1,2,3,1,1,3,1,4,5,5,1,1,1,3,1,1,3,3,2,1,2,1,4,1,1,3,2,5,2,4,2,2,3,1,3,2,5,2,5,1,5,1,4,2,3,5,3,1,1,2,1,1,3,1,10,1,2,5,4,2,4,1,5,1,1,4,1,1,2,3,4,5,4,2,2,4,3,3,2,2,3,4,1,5,1,1,1,4,3,1,4,3,5,3,3,1,5,5,3,2,3,5,2,5,2,5,4,1,5,5,3,4,2,1,1,1,9,7,9,9,8,1,1,5,9,9,19,6,4,1,8,7,7,8,8,9,1,3,4,3,4,5,5,3,3,2,4,4,1,2,2,4,4,4,5,1,2,3,3,4,2,3,2,3,2,5,1,2,2,4,1,3,5,3,4,4,2,1,4,3,2,4,3,5,1,3,3,4,4,1,5,2,3,3,2,1,1
15,AQy19HgKykHcm9xs3gmT,AQy19HgKykHcm9xs3gmTJC4vKXZDuXQzOzg_x2ceyRweCFmoSs-jQeUQYZdquRJU,2,2,1,3,2,5,2,3,2,3,4,4,2,4,2,4,4,1,3,4,1,2,2,2,4,4,2,3,4,1,5,3,4,3,2,4,3,2,3,3,1,4,3,4,4,5,5,2,4,2,2,4,2,4,2,2,2,3,4,5,4,7,5,8,9,9,1,1,9,9,3,23,6,6,2,7,5,3,9,2,8,2,2,5,2,5,2,2,1,3,2,2,2,4,1,5,2,2,5,1,2,1,1,4,4,3,2,1,2,2,4,3,3,2,3,2,3,2,3,4,4,3,1,5,2,2,4,4,5,2,5,1,4,1,3,3,2,2,3,5,2,5,3,0,10,2,4,4,5,4,2,3,4,3,4,4,4,2,4,5,2,2,3,2,4,2,4,5,4,2,2,3,2,4,4,4,1,4,2,4,2,2,4,4,3,5,5,5,2,5,2,2,4,4,2,4,4,4,3,3,3,2,1,4,2,3,7,3,5,7,6,4,2,3,4,7,24,6,2,6,7,5,5,7,3,6,1,3,4,5,4,4,3,2,2,2,2,4,3,2,4,2,3,4,2,3,3,2,3,2,3,2,4,4,2,4,2,3,2,4,2,4,4,3,4,4,2,4,4,4,4,3,2,5,2,2,2,5,3,4,4,2,2,2,3,2,3
16,aYZ8kMUDLNkq_j4nnXts,aYZ8kMUDLNkq_j4nnXtsfV27vJtYHCdfr6wRAgqp4fUICCg7eGQgX7XYH4wPMv6R,1,3,4,4,3,4,5,2,1,3,4,1,2,3,3,4,5,3,4,2,1,5,4,3,5,3,5,3,4,4,4,3,5,3,3,4,3,4,3,3,2,3,5,3,5,2,4,2,3,3,4,2,2,3,2,3,2,2,1,2,2,9,3,5,8,8,2,2,8,8,6,22,5,6,5,6,8,7,9,7,7,2,3,4,3,5,3,3,4,2,1,2,3,1,3,3,2,3,3,4,3,1,2,3,2,3,5,3,2,1,3,2,2,2,3,3,2,4,3,3,3,3,2,2,4,2,4,2,3,4,4,2,4,2,3,2,1,2,2,3,2,1,3,0,3,2,5,1,4,5,4,5,2,2,2,5,3,2,4,2,4,5,1,3,2,2,4,4,3,4,5,2,2,5,4,1,2,5,5,3,4,4,3,4,3,2,1,5,2,3,2,5,4,4,4,5,4,4,4,1,4,2,2,2,1,3,8,8,4,8,8,3,2,4,8,3,25,5,3,5,7,7,6,8,7,9,1,1,2,5,3,5,4,4,2,1,2,4,1,4,2,2,3,5,5,2,4,1,5,5,2,5,4,5,1,5,3,2,4,5,4,2,5,4,3,4,4,1,1,4,4,5,1,5,2,1,2,5,4,1,5,1,2,1,1,1,1
17,Bc5J5NdZalSmkPvXdAWr,Bc5J5NdZalSmkPvXdAWroRuv5bvphDUI9F1vfhDa6iFMuujSOLkf3HHZ_spln12X,1,2,5,2,2,5,5,5,2,1,4,1,3,1,5,2,2,4,1,2,1,5,1,4,5,4,1,5,1,1,1,1,5,5,5,5,5,5,4,2,2,2,5,4,2,1,4,5,1,2,5,4,5,1,1,2,2,5,5,1,2,6,1,4,5,5,3,7,3,5,5,24,8,2,8,2,5,5,5,8,8,2,3,5,2,5,4,3,5,3,3,3,3,3,3,5,2,1,4,1,1,1,1,4,1,4,3,2,1,2,4,3,3,1,1,2,4,3,1,5,5,5,2,3,5,1,2,3,3,3,3,3,1,1,3,3,1,1,4,2,4,3,3,0,2,1,5,1,4,4,2,5,4,3,2,3,2,2,4,3,4,3,4,2,2,2,4,3,4,5,3,1,2,3,3,3,1,3,3,4,2,4,4,3,2,3,2,5,3,4,1,4,4,4,2,4,4,4,4,2,3,3,2,3,3,3,4,2,6,5,5,2,5,5,6,4,29,5,6,4,5,6,5,5,5,5,1,3,2,3,3,3,2,5,2,4,3,3,1,3,5,4,4,2,4,4,4,3,3,4,3,5,5,4,3,2,2,2,3,4,3,2,2,4,4,2,3,2,2,5,3,4,4,4,2,4,3,4,2,2,2,2,5,2,4,2,3
18,BZ01P6CeQqLu6GByUvLK,BZ01P6CeQqLu6GByUvLKgBqMILbfHc8mTK69vULArQ7THeonhJg-2LB3d7WW1jxB,2,4,3,4,5,3,4,3,2,3,3,1,4,3,2,2,5,5,2,3,1,4,3,3,3,3,2,2,4,3,2,3,4,3,2,4,2,5,2,3,2,1,5,3,3,3,3,2,4,2,3,2,1,2,3,2,3,2,2,1,2,7,2,5,9,7,2,1,7,9,9,19,1,5,1,9,9,7,8,8,9,2,3,3,4,4,2,5,2,3,1,2,4,1,2,3,1,4,5,5,3,2,1,5,4,3,2,3,2,1,3,1,1,1,5,5,4,5,3,5,4,5,1,3,4,2,4,1,4,3,3,3,4,2,4,5,3,4,1,4,2,1,3,1,5,4,3,4,4,3,3,1,3,3,2,4,4,1,2,2,4,3,3,2,3,2,3,4,3,2,2,2,2,3,2,2,2,4,4,3,3,3,4,4,4,2,3,4,3,3,2,5,2,4,2,4,2,3,3,4,3,4,2,2,3,2,8,2,7,9,3,2,1,7,9,8,19,5,3,3,8,8,7,9,6,7,1,2,4,2,5,4,4,3,4,2,2,4,2,5,4,4,3,4,4,4,4,3,4,4,3,4,3,2,2,4,2,4,2,2,3,4,3,3,4,2,3,2,3,3,3,3,2,5,2,1,4,2,4,2,4,2,4,5,3,2,3
19,Ci8zEs6RxfWm6vEpOD9e,Ci8zEs6RxfWm6vEpOD9e2bnvLRdYU8CXWMprLkA0bxIyqduN_Uj9OlXsRX9eEt7C,3,3,4,2,5,5,4,2,1,3,5,1,2,4,4,3,2,2,4,3,2,3,5,5,4,4,4,2,5,2,5,4,4,1,1,4,2,5,4,2,3,4,4,4,2,2,5,2,4,1,3,5,1,3,3,2,4,2,3,1,3,8,2,7,9,5,1,1,5,9,9,19,5,3,2,9,9,7,9,5,7,2,3,5,4,2,2,5,2,2,1,3,4,1,4,4,1,2,5,4,2,2,1,3,3,2,3,1,3,3,2,1,2,1,4,1,1,5,4,5,4,2,2,1,4,2,4,1,5,1,3,2,2,5,5,5,2,2,2,2,2,1,3,1,11,2,3,3,4,2,2,1,3,2,2,4,3,4,2,4,5,4,3,3,2,1,4,2,3,1,2,1,1,2,2,1,3,4,3,4,4,4,5,4,5,2,3,3,3,5,2,5,2,1,3,4,3,4,5,5,3,2,3,3,1,1,9,1,9,9,9,1,1,7,9,9,18,5,4,5,9,9,9,9,9,9,1,5,3,3,4,5,5,1,2,2,3,4,1,1,4,3,5,5,2,2,2,1,3,4,3,1,4,4,2,5,3,5,5,2,2,1,5,1,4,3,5,1,4,3,3,5,2,5,3,4,3,3,3,2,5,5,3,4,2,2,1
20,cPVLoNT6w5S_fBwFYoAx,cPVLoNT6w5S_fBwFYoAx27icr6sJWCpxFAk36kJcvJn5uXpd1T5J7x8cNC3-z47q,1,4,3,4,5,5,2,4,1,2,4,5,2,2,3,3,5,3,4,1,2,3,2,3,5,2,2,1,5,2,3,1,4,3,3,1,2,5,4,2,2,2,4,4,2,2,2,4,5,4,4,2,3,5,1,1,1,3,3,3,1,9,1,7,9,9,3,2,5,9,7,23,6,2,5,9,7,7,9,8,9,2,5,2,5,4,2,1,1,2,2,5,2,5,1,4,1,5,3,2,3,1,1,5,3,3,1,5,3,1,3,3,5,3,4,4,4,1,1,2,5,5,3,3,4,4,5,2,4,4,5,2,5,2,4,2,4,2,2,3,2,3,3,1,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,25,7,7,7,7,7,7,7,7,7,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
21,DdshD_H7da8fBwCSgkHu,DdshD_H7da8fBwCSgkHuEhIqsAyBVA5N_mchi0y1NaAF4n5Gegt7zvt-ZDtB43d8,2,4,1,4,4,4,2,2,2,2,4,2,1,2,4,2,5,2,2,2,2,5,4,2,4,4,1,2,5,4,2,2,4,4,2,2,4,2,2,2,2,2,4,5,4,2,4,2,4,4,5,4,2,2,4,4,4,4,2,4,3,7,1,5,6,7,1,3,8,7,6,23,5,3,6,7,7,6,8,8,9,2,2,5,4,4,4,2,5,2,1,2,4,2,2,1,2,4,4,4,2,1,1,5,4,2,5,2,2,1,5,4,2,2,5,5,4,1,4,4,4,5,4,2,4,2,1,2,4,2,4,4,4,4,4,2,2,1,2,4,2,2,3,4,5,2,4,2,4,5,2,4,2,1,2,4,5,3,2,2,3,4,2,4,4,2,4,4,4,4,2,2,1,5,4,2,2,4,4,4,2,4,4,4,4,2,5,4,3,4,2,4,5,2,4,2,2,4,2,4,2,2,4,2,5,2,8,8,7,9,8,1,1,8,9,7,24,6,2,5,8,8,8,8,8,8,1,2,2,2,4,4,4,2,4,2,4,4,4,2,4,2,2,4,2,4,4,2,4,4,4,2,4,2,4,4,2,4,2,4,2,2,2,2,4,2,2,2,5,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,2,2,4
22,DiIPRKU_iQHhpHwUBGVN,DiIPRKU_iQHhpHwUBGVNc2QUagBb38OMBmQIqe7Q0j-4qypPY0Xmsx1XTU63nMhf,1,3,2,3,5,4,3,4,2,5,5,2,3,2,5,4,5,2,3,2,1,4,5,3,2,4,4,3,5,4,2,2,4,2,2,3,4,3,2,4,1,4,5,4,4,5,5,4,2,4,4,4,1,3,3,2,2,1,1,2,2,8,3,7,9,8,1,1,8,9,8,23,5,3,6,6,7,7,7,7,8,2,3,5,3,5,2,2,5,4,4,3,4,2,4,2,3,5,4,2,3,2,4,5,2,4,2,2,3,2,4,2,1,2,3,3,4,4,4,4,4,4,3,4,5,1,4,5,4,5,2,4,2,2,2,3,2,1,3,2,2,2,3,3,1,3,5,2,3,4,2,4,4,4,2,4,3,2,2,5,4,4,3,2,5,4,4,4,5,4,3,2,2,4,4,4,2,4,2,3,3,4,4,4,4,2,4,4,2,2,3,4,4,2,4,5,3,2,4,3,2,4,3,3,3,1,9,5,9,9,9,1,2,8,9,9,24,7,3,9,9,9,8,9,9,9,1,2,4,4,4,5,4,3,2,2,3,4,2,2,2,4,5,4,4,2,2,2,4,5,5,3,4,5,2,4,2,2,2,5,2,4,2,2,5,4,5,2,4,4,4,4,2,5,3,4,4,4,3,2,2,2,2,4,3,2,4
23,dmibTJ1FAQdhFfvvEGxn,dmibTJ1FAQdhFfvvEGxnhtmA0RaGw4YnbRyKxomGzOs83aIAx-N-on_laTw1AlEK,1,2,5,3,4,5,3,5,1,4,5,3,4,3,4,1,4,4,2,1,1,2,5,3,5,5,4,1,5,4,3,3,5,2,3,4,3,3,4,2,2,1,4,4,5,5,5,2,4,4,5,5,5,2,1,1,1,1,2,4,1,9,9,8,9,7,1,1,2,9,7,22,1,5,3,8,9,7,9,3,9,2,2,3,5,3,3,3,4,1,1,2,1,4,4,2,3,3,2,2,4,1,1,4,3,2,4,3,5,2,2,2,3,3,4,4,4,2,5,3,3,3,3,2,3,2,5,2,2,1,2,2,4,4,4,1,1,2,1,2,2,2,3,2,6,2,5,3,2,5,4,3,3,2,2,4,2,1,4,3,2,2,2,1,2,1,4,1,2,5,3,1,4,4,3,1,3,3,5,2,5,1,4,5,4,3,5,5,2,3,3,5,1,1,1,5,4,2,4,3,1,3,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,E2BFuiS9XKGEUsbtbJOS,E2BFuiS9XKGEUsbtbJOSvMNj3UP5-MYvhoflF6QNKXWFT2eut0niJkbjCLmLIkJj,1,3,2,4,4,5,4,1,1,2,4,1,3,4,4,4,2,5,4,4,1,4,1,1,5,4,4,1,4,1,2,1,4,2,4,5,5,5,2,2,2,2,3,3,1,1,2,1,4,1,4,1,2,5,1,4,4,2,4,1,4,7,7,8,9,8,3,1,4,9,8,25,7,2,6,6,6,4,7,8,6,1,4,4,2,2,5,5,3,5,4,2,4,1,4,2,4,1,5,2,2,3,4,2,4,2,4,4,4,5,5,1,4,1,2,2,1,5,4,5,2,1,1,1,4,4,1,3,5,1,2,3,5,1,2,5,4,2,1,4,3,1,3,1,1,1,5,4,5,5,5,3,4,4,1,2,1,2,1,1,2,4,4,2,1,1,5,4,1,5,2,1,2,5,1,2,1,5,2,2,5,2,5,4,1,1,1,5,4,4,1,2,1,2,4,5,1,2,4,1,2,1,5,2,1,1,7,1,3,9,9,1,1,7,9,9,23,6,2,2,9,8,8,9,9,8,2,1,5,5,5,1,5,5,1,1,1,1,1,1,5,1,3,5,5,1,1,1,5,4,1,5,4,4,2,1,1,1,1,5,2,5,5,1,5,5,3,4,1,5,5,5,2,1,1,5,1,2,1,5,5,1,1,1,2,3,1
25,E9TZXCQJMTXkT94hGrVL,E9TZXCQJMTXkT94hGrVLrLM41jQLde0JAA6NMeQ724SbkTH49b6vafRlOGCtjZB-,1,4,2,5,2,3,4,1,1,2,3,1,5,3,3,3,4,3,3,2,1,5,2,4,3,2,2,1,3,4,3,2,3,2,3,3,3,4,5,3,2,2,4,2,4,1,4,3,1,2,4,2,2,5,2,1,2,2,1,1,1,9,2,8,9,9,1,1,3,9,9,23,7,1,7,9,9,9,9,3,9,2,1,5,4,5,2,5,5,2,1,2,1,1,5,1,1,3,4,4,1,1,1,5,2,2,4,2,4,1,2,1,1,2,5,3,4,5,5,4,5,2,2,1,4,2,5,1,3,1,2,3,5,1,4,5,3,2,2,1,2,1,3,2,9,1,4,3,4,4,5,5,2,4,3,2,1,4,4,1,3,4,4,1,1,1,5,2,3,5,4,3,1,4,1,1,2,5,4,4,5,4,4,4,3,2,1,4,4,4,2,4,1,4,4,4,4,3,5,1,1,1,2,3,1,1,9,1,9,9,9,2,1,8,9,9,23,3,2,9,9,9,9,9,9,9,1,1,5,2,5,5,5,5,4,1,3,4,1,2,1,4,3,5,4,1,1,1,5,4,2,5,3,2,1,5,1,2,1,5,3,3,5,3,5,3,3,2,1,4,2,5,1,5,1,1,3,4,2,2,5,1,1,1,2,1,1
26,EGLrH-BJtdQ0spq7MIf6,EGLrH-BJtdQ0spq7MIf68AHpr5hcgiCnRaJ1ihyDkJ-M1Wdi2E5uMLdYpVZn6vs-,2,5,1,3,4,3,3,3,2,2,4,4,2,2,4,3,2,1,4,2,2,3,4,3,5,4,1,2,5,4,2,2,4,4,2,4,4,4,4,4,3,4,4,4,2,3,3,4,2,2,4,3,2,2,3,2,2,3,2,3,2,8,3,7,9,9,1,5,9,9,9,18,3,6,5,8,8,7,7,5,8,2,3,4,3,4,3,4,2,4,2,2,3,2,2,4,2,4,3,4,4,2,2,4,3,3,3,3,3,2,3,3,3,2,4,4,4,4,3,4,4,4,3,3,3,3,4,2,4,3,4,2,4,2,3,3,4,2,3,5,3,2,3,1,6,4,5,2,4,4,5,3,2,2,2,4,1,1,4,3,4,3,1,3,3,1,4,3,2,2,4,2,2,4,2,1,2,5,2,4,5,3,2,4,3,1,3,2,5,4,2,5,1,4,1,5,3,2,5,3,1,2,3,3,2,2,8,4,2,7,2,8,3,4,7,7,18,3,7,3,7,4,2,7,5,9,1,3,4,2,3,4,4,3,2,3,2,2,2,3,2,4,3,5,1,3,3,2,3,2,3,4,2,2,3,5,2,2,3,2,4,2,3,3,4,4,3,1,4,4,2,3,2,4,2,3,2,2,2,2,4,3,3,2,3,2,2
27,FlaxQ7GlDBcU7jsMSB_x,FlaxQ7GlDBcU7jsMSB_xapRarN3dzAXtOpHX3rB5rX5pwYa3TngqKY8YfFT0AiDJ,1,2,2,4,2,4,3,3,4,4,2,2,3,2,3,2,3,2,5,2,1,4,1,4,3,5,2,2,4,2,2,3,5,4,2,2,5,5,5,3,2,3,5,4,4,2,4,3,1,4,2,2,4,1,2,1,3,3,2,1,3,7,7,7,9,9,4,1,7,9,9,18,7,1,8,8,7,8,8,8,8,2,2,3,2,4,3,2,2,3,4,3,4,1,5,4,4,2,3,3,4,2,3,4,2,3,4,4,2,1,4,2,2,3,2,4,2,2,2,3,3,3,3,4,2,3,2,1,4,4,3,2,4,2,3,2,2,4,2,2,2,1,3,0,3,2,2,2,4,3,1,2,2,4,4,4,1,4,4,4,3,4,2,4,3,4,4,2,3,5,4,2,2,3,2,4,4,2,3,2,2,2,3,3,4,3,4,3,4,3,2,4,4,4,2,3,2,3,4,2,4,4,2,4,1,6,9,4,7,9,9,5,1,7,9,9,18,5,3,6,9,7,8,9,7,6,1,2,3,3,4,3,2,2,3,3,3,4,1,4,3,3,2,4,2,2,2,2,4,3,3,5,4,3,2,4,2,2,3,4,2,3,2,4,3,5,3,3,4,5,2,4,2,4,3,2,3,3,2,3,4,2,4,4,2,2,1
28,gxt7_03Dy3ki-rVKZMK-,gxt7_03Dy3ki-rVKZMK-PVfYW2GLU9dWeSCxH9rsJS2jyyTcPdrMOOxSwzueRIR-,1,4,3,3,3,5,4,3,3,4,5,1,2,2,4,2,1,2,2,2,2,4,1,1,5,5,1,5,5,4,2,3,4,2,1,5,2,3,4,2,2,3,5,2,2,4,5,3,3,1,3,3,3,4,2,2,4,1,3,1,1,9,6,7,9,7,2,1,8,8,9,19,1,9,2,9,6,7,9,8,7,1,1,4,2,4,5,5,1,5,3,1,5,1,1,4,3,1,5,5,1,4,2,1,5,4,5,5,4,4,4,2,3,1,5,4,2,4,2,5,3,1,1,3,3,5,2,4,4,2,4,2,5,3,4,5,4,4,2,4,1,1,3,2,2,2,4,2,5,4,5,3,2,2,2,4,2,5,2,4,2,5,4,3,2,2,4,2,3,5,4,2,2,4,3,2,2,4,2,3,2,3,3,4,2,2,1,4,2,4,2,5,2,2,2,3,4,1,5,1,2,4,3,2,2,1,9,3,6,9,9,1,1,8,9,7,19,6,4,5,7,8,5,9,7,9,2,4,4,3,4,3,5,3,2,2,3,3,3,4,2,3,2,4,2,2,2,1,4,4,1,2,4,3,3,3,4,2,3,3,3,2,4,3,4,3,2,3,4,4,3,5,2,3,2,3,2,5,4,4,4,2,2,2,2,2,2
29,iCMo978v8GJS-wD1qlNM,iCMo978v8GJS-wD1qlNM6PYF3VmDRiZilnb1cTr5vfab-0ClGFTrMKsFvJrRPRDR,1,5,3,5,4,3,4,2,4,2,3,2,4,2,5,5,5,3,3,4,1,5,4,3,5,4,4,1,5,4,2,2,5,5,4,3,5,5,4,5,2,4,5,4,3,2,5,2,1,3,4,3,2,5,2,4,4,2,1,1,4,9,3,7,7,9,3,2,6,7,7,18,6,3,6,8,8,6,9,7,8,2,2,2,5,3,3,3,4,2,2,1,1,1,4,2,3,4,4,3,2,3,2,4,1,2,5,4,3,2,2,3,1,3,4,3,3,3,3,4,4,5,2,3,5,4,5,2,5,2,2,3,4,3,4,4,3,4,3,4,4,1,3,2,0,1,3,5,4,1,4,1,2,3,2,3,5,5,2,5,1,2,2,1,2,1,3,1,5,5,3,5,2,1,5,3,1,5,3,3,5,4,5,5,4,4,5,5,5,3,4,1,5,1,1,3,4,5,5,1,5,1,2,5,1,3,9,9,9,9,9,1,1,2,9,8,18,7,1,7,9,5,1,7,7,3,1,1,4,2,4,3,5,1,2,1,3,5,1,3,5,1,4,5,2,1,2,1,4,5,2,5,3,4,1,4,2,3,1,2,2,2,5,1,2,2,4,1,3,3,1,5,1,5,3,5,1,5,5,4,5,4,1,5,1,1,1
